Class Components,"Paano mo gagawa ng component gamit ang classes?",,"Gamitin ang class components."
useEffect Hook,"Paano mo i-handle ang side effects?",,"Gamitin ang useEffect hook."
useRef Hook,"Paano mo i-access ang DOM elements?",,"Gamitin ang useRef hook."
useMemo Hook,"Paano mo i-cache ang expensive computations?",,"Gamitin ang useMemo hook."
useCallback Hook,"Paano mo i-cache ang functions para sa optimization?",,"Gamitin ang useCallback hook."
useContext Hook,"Paano mo i-access ang context values?",,"Gamitin ang useContext hook."
Custom Hooks,"Paano mo gagawa ng sariling reusable hooks?",,"Gamitin ang custom hooks."
Class Components,"Ano ang tawag sa components na gawa sa classes?",,"Class components."
useEffect Hook,"Ano ang tawag sa pag-handle ng side effects?",,"useEffect hook."
useRef Hook,"Ano ang tawag sa pag-access ng DOM elements at mutable values?",,"useRef hook."
useMemo Hook,"Ano ang tawag sa pag-cache ng expensive computations?",,"useMemo hook."
useCallback Hook,"Ano ang tawag sa pag-cache ng functions para sa optimization?",,"useCallback hook."
useContext Hook,"Ano ang tawag sa pag-access ng context values?",,"useContext hook."
Custom Hooks,"Ano ang tawag sa pagbubuo ng sariling reusable hooks?",,"Custom hooks."
