MVC Pattern,"Paano mo i-organize ang code gamit ang MVC?",,"Gamitin ang MVC pattern."
Singleton Pattern,"Paano mo gagawa ng class na may isang instance lang?",,"Gamitin ang singleton pattern."
Factory Pattern,"Paano mo gagawa ng objects nang hindi direktang nag-i-instantiate?",,"Gamitin ang factory pattern."
Dependency Injection,"Paano mo i-pass ang dependencies sa class?",,"Gamitin ang dependency injection."
Service Layer,"Paano mo i-centralize ang business logic?",,"Gamitin ang service layer."
MVC Pattern,"Ano ang tawag sa paghihiwalay ng model, view, at controller?",,"MVC pattern."
Singleton Pattern,"Ano ang tawag sa class na may isang instance lang?",,"Singleton pattern."
Factory Pattern,"Ano ang tawag sa class na nagre-create ng objects?",,"Factory pattern."
Dependency Injection,"Ano ang tawag sa pagpasa ng dependencies sa class?",,"Dependency injection."
Service Layer,"Ano ang tawag sa pag-centralize ng business logic?",,"Service layer."
