Debouncing,"Paano mo i-delay ang function execution?",,"Gamitin ang debouncing."
Throttling,"Paano mo i-limit ang function execution frequency?",,"Gamitin ang throttling."
Image Optimization,"Paano mo i-optimize ang image loading?",,"Gamitin ang image optimization."
Prefetching,"Paano mo i-load ang resources ahead of time?",,"Gamitin ang prefetching."
Service Worker,"Paano mo i-enable ang offline support?",,"Gamitin ang service worker."
Performance Profiling,"Paano mo i-analyze ang bottlenecks?",,"Gamitin ang performance profiling."
Debouncing,"Ano ang tawag sa pag-delay ng function execution?",,"Debouncing."
Throttling,"Ano ang tawag sa pag-limit ng function execution frequency?",,"Throttling."
Image Optimization,"Ano ang tawag sa pag-combine at lazy load ng images?",,"Image optimization."
Prefetching,"Ano ang tawag sa pag-load ng resources ahead of time?",,"Prefetching."
Service Worker,"Ano ang tawag sa caching ng assets para sa offline support?",,"Service worker."
Performance Profiling,"Ano ang tawag sa pag-analyze ng bottlenecks?",,"Performance profiling."
