Normalization,"Paano mo babawasan ang data duplication sa tables?",,"Gamitin ang normalization."
Indexing,"Paano mo pabilisin ang mga queries?",,"Gamitin ang indexing."
Foreign Key Constraints,"Para saan ang foreign key constraints?",,"Para sa data integrity ng tables."
CASCADE Delete,"Ano ang mangyayari kapag nag-delete ng record na may references?",,"Automatic na mag-delete ng related records."
RESTRICT Delete,"Bakit minsan hindi pwedeng mag-delete ng record?",,"Kapag may foreign key constraint na RESTRICT."
Transactions,"Para saan ang transactions sa database?",,"Para sa pag-group ng operations na sabay-sabay."
Normalization,"Ano ang tawag sa pagbawas ng data duplication?",,"Normalization."
Indexing,"Ano ang tawag sa pagpapabilis ng queries gamit ang index?",,"Indexing."
Foreign Key Constraints,"Ano ang tawag sa integridad ng data sa pagitan ng tables?",,"Foreign key constraints."
CASCADE Delete,"Ano ang tawag sa automatic na pagtanggal ng related records?",,"Cascade delete."
RESTRICT Delete,"Ano ang tawag sa pagbabawal ng delete kapag may reference?",,"Restrict delete."
Transactions,"Ano ang tawag sa grouping ng operations na sabay-sabay?",,"Transactions."
Normalization,"Paano mo ire-reduce ang data redundancy?",,"Gamitin ang normalization."
Indexing,"Paano mo i-o-optimize ang query performance?",,"Gamitin ang indexing."
Foreign Key Constraints,"Paano mo poprotektahan ang referential integrity?",,"Gamitin ang foreign key constraints."
CASCADE Delete,"Paano mo自动删除 ang related records?",,"Gamitin ang cascade delete."
RESTRICT Delete,"Paano mo pipigilan ang delete kapag may reference?",,"Gamitin ang restrict delete."
Transactions,"Paano mo gagroupin ang related operations?",,"Gamitin ang transactions."
Normalization,"Ano ang benefit ng normalization?",,"Bawasan ang data duplication."
Indexing,"Ano ang benefit ng indexing?",,"Pabilisin ang queries."
Foreign Key Constraints,"Ano ang purpose ng foreign key constraints?",,"Maintain data integrity."
CASCADE Delete,"Ano ang effect ng cascade delete?",,"Automatic na pagtanggal ng related records."
RESTRICT Delete,"Ano ang effect ng restrict delete?",,"Hindi pwedeng mag-delete kapag may reference."
Transactions,"Ano ang purpose ng transactions?",,"Sabay-sabay na operations."
