PHP 8.x Features,Paano mag-define ng string-backed enum na may status values?,,enum Status: string { case Active = 'active'; case Inactive = 'inactive'; }
PHP 8.x Features,Paano gumawa ng property na hindi na mababago pagkatapos ng construction?,,public readonly string $name;
PHP 8.x Features,Paano mag-call ng function gamit ang named arguments nang hindi sinusunod ang order?,,"process(amount: 100, retries: 3);"
PHP 8.x Features,Paano mag-return ng value mula sa conditional gamit ang match?,,"return match ($status) { 'a' => 'Active', default => 'Unknown' };"
PHP 8.x Features,Paano i-access ang nested property nang ligtas kung pwede itong mag-null?,,$user->profile?->name
SOLID Principles,Paano magdagdag ng bagong payment method nang hindi binabago ang existing code?,,Mag-create ng bagong class na nag-implement ng PaymentGateway interface.
SOLID Principles,Paano i-inject ang dependency sa halip na mag-new sa loob ng class?,,public function __construct(private Mailer $mailer) {}
SOLID Principles,Paano ayusin ang malaking interface na pinipilit i-implement ng lahat ng classes?,,Hatiin ito sa mas maliliit na focused interfaces at i-implement lang ang kailangan.
SOLID Principles,Paano i-test ang isang class na may external dependency?,,I-pass ang mock o fake ng dependency sa constructor nito.
SOLID Principles,Paano mag-compose ng behavior sa halip na mag-inherit?,,I-inject ang collaborator object at i-delegate ang behavior dito.
Design Patterns,Paano i-isolate ang mga database queries mula sa controllers?,,Gumawa ng repository class na nag-e-encapsulate ng lahat ng query logic sa likod ng interface.
Design Patterns,Paano gumawa ng object gamit ang factory pattern?,,I-return ang bagong instance sa loob ng factory method: return new PaymentProcessor($this->config);
Design Patterns,Paano magpalit ng shipping calculation depende sa country?,,Mag-define ng ShippingStrategy interface at i-inject ang tamang strategy sa runtime.
Design Patterns,Paano mag-notify ng maraming bahagi ng app kapag may bagong order?,,Mag-dispatch ng OrderCreated event at magrehistro ng mga listeners dito.
Design Patterns,Paano gamitin ang lumang payment API na iba ang interface?,,Gumawa ng adapter class na nagsa-translate ng lumang API papunta sa bagong interface.
Composer,Paano mag-install ng package na may specific version?,,composer require vendor/package:^2.0
Static Analysis,Paano i-check ang type safety ng buong codebase bago i-deploy?,,Patakbuhin ang vendor/bin/phpstan analyse sa CI o locally.
Service Container & Facades,Paano magrehistro ng interface binding sa service container?,,"$this->app->bind(PaymentGateway::class, StripeGateway::class);"
Service Container & Facades,Paano mag-share ng iisang instance sa buong request lifecycle?,,$this->app->singleton(CartService::class);
Service Container & Facades,Paano i-resolve ang isang dependency nang manu-mano?,,app(ReportService::class) o App::make(ReportService::class)
Service Container & Facades,Paano gumawa ng custom facade?,,Mag-extend ng Facade at i-override ang getFacadeAccessor() para i-return ang binding key.
Service Container & Facades,Paano i-register ang custom service provider sa app?,,Idagdag ang provider class sa providers array sa config/app.php.
Middleware & Request Lifecycle,Paano gumawa ng middleware na nag-che-check ng condition?,,php artisan make:middleware EnsureAgeIsValid
Middleware & Request Lifecycle,Paano i-assign ang middleware sa isang route?,,"Route::get('/admin', fn () => ...)->middleware('auth');"
Middleware & Request Lifecycle,Paano mag-proceed sa susunod na middleware sa pipeline?,,return $next($request);
Middleware & Request Lifecycle,Paano i-block ang request at mag-return ng 403?,,"abort(403); o return response()->json(['message' => 'Forbidden'], 403);"
Middleware & Request Lifecycle,Paano magpatakbo ng code pagkatapos maipadala ang response?,,"I-override ang terminate($request, $response) method sa middleware."
Eloquent ORM,Paano i-load ang author relationship kasabay ng posts?,,Post::with('author')->get();
Eloquent ORM,Paano ayusin ang N+1 sa listahan ng posts na may comments?,,Magdagdag ng with('comments') sa query at tanggalin ang per-record query sa loop.
Eloquent ORM,Paano gumawa ng reusable scope para sa published posts?,,"public function scopePublished($query) { return $query->where('status', 'published'); }"
Eloquent ORM,Paano mag-run ng code tuwing may bagong user na ginagawa?,,Mag-register ng creating event sa boot() ng model o gumamit ng observer.
Eloquent ORM,Paano i-load ang relationship ng existing model instance?,,$post->load('author');
Query Builder & Transactions,Paano i-wrap ang multiple operations sa isang transaction?,,DB::transaction(function () { ... });
Query Builder & Transactions,Paano i-prevent ang race condition sa pagde-decrement ng stock?,,"Product::where('id', $id)->lockForUpdate()->first();"
Query Builder & Transactions,Paano i-check kung efficient ang isang query?,,Patakbuhin ang EXPLAIN SELECT ... sa database at suriin ang execution plan.
Query Builder & Transactions,Paano mag-insert ng multiple rows sa isang call?,,"DB::table('users')->insert([['name' => 'A'], ['name' => 'B']]);"
Query Builder & Transactions,Paano mag-count ng records gamit ang query builder?,,DB::table('products')->count();
Queues & Events,Paano i-dispatch ang isang job nang asynchronous?,,ProcessPodcast::dispatch($podcast);
Queues & Events,Paano i-delay ang isang job ng 10 minutes?,,ProcessPodcast::dispatch($podcast)->delay(now()->addMinutes(10));
Queues & Events,Paano mag-schedule ng command na tumatakbo araw-araw ng hatinggabi?,,$schedule->command('emails:send')->daily();
Queues & Events,Paano mag-dispatch ng event at i-listen ito?,,OrderCreated::dispatch($order); at i-register ang listener sa EventServiceProvider.
Queues & Events,Paano i-retry ang lahat ng failed jobs?,,php artisan queue:retry all
Notifications,Paano magpadala ng email notification sa isang user?,,$user->notify(new InvoicePaid($invoice));
Broadcasting,Paano mag-broadcast ng event sa real-time channel?,,broadcast(new OrderShipped($order));
Database Design,Paano i-model ang many-to-many relationship ng users at roles?,,Gumawa ng pivot table na may user_id at role_id na columns.
Database Design,Paano i-enforce na laging valid ang department_id ng isang employee?,,Magdagdag ng foreign key constraint sa department_id column.
Database Design,Paano alisin ang paulit-ulit na data sa isang column?,,I-normalize: i-extract sa sariling table at i-reference gamit ang foreign key.
Database Design,Paano pabilisin ang pagbabasa ng data na laging kasama ng parent record?,,I-denormalize sa pamamagitan ng pagdagdag ng cached column.
Database Design,Paano i-prevent ang pag-insert ng duplicate email?,,Magdagdag ng unique constraint sa email column.
Advanced SQL,Paano i-rank ang mga users ayon sa kanilang points?,,"SELECT name, RANK() OVER (ORDER BY points DESC) FROM users"
Indexing Strategy,Paano i-speed up ang query na may WHERE condition sa dalawang columns?,,Gumawa ng composite index sa parehong columns.
Migrations & Seeders,Paano gumawa ng migration para sa users table?,,php artisan make:migration create_users_table
Migrations & Seeders,Paano mag-define ng foreign key na may cascade delete sa migration?,,$table->foreignId('user_id')->constrained()->onDelete('cascade');
Migrations & Seeders,Paano i-run ang lahat ng pending migrations?,,php artisan migrate
Migrations & Seeders,Paano gumawa ng 50 fake users para sa testing?,,User::factory()->count(50)->create();
Migrations & Seeders,Paano mag-seed ng default admin user?,,I-call ang DB::table('users')->insert([...]) sa loob ng seeder class.
Cache Drivers,Paano mag-set ng cache value na may expiration?,,"Cache::put('key', $value, now()->addMinutes(10));"
Cache Drivers,Paano mag-lock ng critical section para iisa lang ang mag-process?,,"$lock = Cache::lock('processing', 60); $lock->get();"
Cache Drivers,Paano i-throttle ang API requests per user?,,"RateLimiter::for('api', fn ($user) => Limit::perMinute(60));"
Cache Drivers,Paano i-clear ang lahat ng cache?,,php artisan cache:clear o Cache::flush()
Cache Drivers,Paano mag-delete ng isang cache key?,,Cache::forget('key');
Caching Strategies,Paano i-cache ang expensive query result ng 1 hour?,,"Cache::remember('reports.daily', 3600, fn () => $report->generate());"
Caching Strategies,Paano i-invalidate ang cache kapag na-update ang isang post?,,Cache::forget('post.' . $post->id) pagkatapos mag-save.
Caching Strategies,Paano maiwasan ang cache stampede sa popular na key?,,Gumamit ng lock o atomic cache update para iisa lang ang mag-recompute.
Caching Strategies,Paano i-invalidate ang lahat ng cache ng isang version?,,I-bump ang version sa key: magpalit mula 'v1.posts' papunta sa 'v2.posts'.
Caching Strategies,Paano i-warm ang cache para sa sikat na page bago ang peak?,,I-run ang cache generator sa background job bago magsimula ang peak hours.
HTTP Caching,Paano i-enable ang HTTP caching para sa mga static assets?,,I-set ang Cache-Control headers sa Nginx o gumamit ng middleware.
Profiling Tools,Paano makita kung aling query ang mabagal sa isang page?,,Buksan ang Debugbar o Telescope at suriin ang queries tab.
RESTful API Design,Paano mag-list ng posts na may pagination?,,Post::paginate(15); o i-access ang /api/posts?page=2
RESTful API Design,Paano i-filter ang products ayon sa category?,,Gamitin ang query parameter: /api/products?category=electronics at i-validate sa controller.
RESTful API Design,Paano mag-return ng 201 status kapag may na-create?,,"return response()->json($post, 201);"
RESTful API Design,Paano i-version ang API para hindi masira ang existing clients?,,Gumamit ng /api/v1 prefix o header-based versioning.
RESTful API Design,Paano i-expose lang ang ilang attributes ng model sa API?,,Gumawa ng API Resource class at tukuyin ang toArray() dito.
Authentication,Paano mag-issue ng token pagkatapos mag-login sa Sanctum?,,$token = $user->createToken('device')->plainTextToken;
Authentication,Paano i-protect ang API route para sa mga authenticated users?,,"Route::middleware('auth:sanctum')->get('/user', ...);"
Authentication,Paano i-validate ang JWT sa bawat request?,,Gumamit ng JWT middleware na nagche-check ng signature at expiration.
Authentication,Paano i-revoke ang lahat ng tokens ng isang user?,,$user->tokens()->delete();
Authentication,Paano mag-access ng third-party API gamit ang OAuth2?,,I-exchange ang authorization code para sa access token.
Third-party Integrations,Paano i-verify na galing talaga sa Stripe ang webhook request?,,I-verify ang signature gamit ang webhook secret na binigay ng provider.
Rate Limiting & Idempotency,Paano i-prevent ng duplicate payment processing?,,I-store ang idempotency key at i-check ito bago mag-process ulit.
OWASP Top 10,Paano i-prevent ang SQL injection sa Eloquent?,,Gumamit ng query builder o Eloquent na may binding sa halip na raw string concatenation.
OWASP Top 10,Paano i-protect ang forms laban sa CSRF?,,Maglagay ng @csrf directive sa form o i-set ang X-CSRF-TOKEN header sa AJAX.
OWASP Top 10,Paano i-escape ang user content sa Blade?,,Gumamit ng {{ }} na awtomatikong nag-e-escape ng output.
OWASP Top 10,Paano i-prevent ang mass assignment?,,I-set ang $fillable sa model at huwag i-pass ang buong request sa create().
OWASP Top 10,Paano i-secure ang authorization ng isang resource?,,"Gumamit ng policy: $this->authorize('update', $post);"
Authorization,Paano i-check kung may permission ang user sa Spatie?,,$user->hasPermissionTo('edit posts');
Authorization,Paano i-define ang authorization sa isang policy?,,I-define ang update() method sa policy class at i-return ang condition.
Authorization,Paano i-apply ang policy sa isang route?,,"Route::middleware('can:update,post')->... o $this->authorize('update', $post);"
Authorization,Paano i-assign ang role sa isang user?,,$user->assignRole('admin');
Authorization,Paano i-define ang gate nang walang policy?,,"Gate::define('manage-users', fn ($user) => $user->is_admin);"
Secrets & Encryption,Paano i-encrypt ang isang value bago i-store?,,Crypt::encryptString($value); o gumamit ng encrypted cast sa model.
