Transpilation,"Paano mo i-convert ang modern JS sa older version?",,"Gamitin ang transpilation."
Bundling,"Paano mo i-combine ang multiple files?",,"Gamitin ang bundling."
Lazy Loading,"Paano mo i-load ang resources kapag kailangan lang?",,"Gamitin ang lazy loading."
Polyfills,"Paano mo i-add ang features sa older browsers?",,"Gamitin ang polyfills."
Source Maps,"Paano mo i-trace ang minified code sa original?",,"Gamitin ang source maps."
Transpilation,"Ano ang tawag sa pag-convert ng modern JS sa older version?",,"Transpilation."
Bundling,"Ano ang tawag sa pag-combine ng multiple files?",,"Bundling."
Lazy Loading,"Ano ang tawag sa pag-load ng resources kapag kailangan lang?",,"Lazy loading."
Polyfills,"Ano ang tawag sa pagdagdag ng features sa older browsers?",,"Polyfills."
Source Maps,"Ano ang tawag sa pag-trace ng minified code sa original?",,"Source maps."
