Application,"Paano pumili ng specific columns?",,"SELECT name, email FROM users;"
Application,"Paano mag-return ng unang 10 rows?",,"SELECT * FROM users LIMIT 10;"
Application,"Paano gumawa ng computed column?",,"SELECT price * quantity AS total FROM orders;"
Application,"Paano pumili ng lahat ng columns?",,"SELECT * FROM posts;"
Application,"Paano mag-select ng literal value?",,"SELECT 'active' AS status;"
Application,"Paano mag-filter ng users na active?",,"SELECT * FROM users WHERE active = 1;"
Application,"Paano mag-filter ng users sa isang listahan ng ids?",,"SELECT * FROM users WHERE id IN (1, 2, 3);"
Application,"Paano mag-filter ng presyo sa isang range?",,"SELECT * FROM products WHERE price BETWEEN 10 AND 100;"
Application,"Paano maghanap ng name na nagsisimula sa 'J'?",,"SELECT * FROM users WHERE name LIKE 'J%';"
Application,"Paano mag-filter ng rows na may null email?",,"SELECT * FROM users WHERE email IS NULL;"
Application,"Paano mag-sort ng users sa pinakabago?",,"SELECT * FROM users ORDER BY created_at DESC;"
Application,"Paano mag-sort gamit ang dalawang columns?",,"SELECT * FROM products ORDER BY category, price;"
Application,"Paano mag-paginate gamit ang OFFSET at FETCH?",,"SELECT * FROM posts ORDER BY id OFFSET 20 ROWS FETCH NEXT 10 ROWS ONLY;"
Application,"Paano mag-sort ascending?",,"SELECT * FROM users ORDER BY name ASC;"
Application,"Paano kumuha ng pangalawang page ng results?",,"SELECT * FROM posts LIMIT 10 OFFSET 10;"
Application,"Paano kumuha ng unique na cities?",,"SELECT DISTINCT city FROM users;"
Application,"Paano mag-alias ng column?",,"SELECT name AS full_name FROM users;"
Application,"Paano mag-alias ng table?",,"SELECT u.name FROM users AS u;"
Application,"Paano mag-alias ng expression?",,"SELECT price * quantity AS total_price FROM orders;"
Application,"Paano magbilang ng unique na categories?",,"SELECT COUNT(DISTINCT category) FROM products;"
Application,"Paano i-cast ang value sa integer?",,"SELECT CAST('123' AS INTEGER);"
Application,"Paano mag-declare ng DECIMAL column?",,"price DECIMAL(10, 2)"
Application,"Paano mag-imbak ng text na may fixed length?",,"Gamitin ang CHAR(n) na may fixed length."
Application,"Paano kumuha ng current timestamp?",,"SELECT CURRENT_TIMESTAMP;"
Application,"Paano i-check ang type ng value?",,"I-query ang information_schema o gumamit ng pg_typeof sa PostgreSQL."
Application,"Paano mag-join ng dalawang tables?",,"SELECT * FROM orders INNER JOIN users ON orders.user_id = users.id;"
Application,"Paano mag-join ng tatlong tables?",,"SELECT * FROM orders JOIN users ON ... JOIN payments ON ...;"
Application,"Paano mag-join gamit ang alias?",,"SELECT u.name FROM users u JOIN orders o ON o.user_id = u.id;"
Application,"Paano i-filter ang joined result?",,"SELECT * FROM orders JOIN users ON ... WHERE users.active = 1;"
Application,"Paano mag-join gamit ang column ng parehong pangalan?",,"JOIN ... USING (user_id)"
Application,"Paano makuha ang lahat ng users kahit walang orders?",,"SELECT * FROM users LEFT JOIN orders ON orders.user_id = users.id;"
Application,"Paano mahanap ang users na walang orders?",,"SELECT * FROM users LEFT JOIN orders ON ... WHERE orders.id IS NULL;"
Application,"Paano gumamit ng RIGHT JOIN?",,"SELECT * FROM orders RIGHT JOIN users ON orders.user_id = users.id;"
Application,"Paano gumamit ng FULL JOIN sa PostgreSQL?",,"SELECT * FROM users FULL JOIN orders ON orders.user_id = users.id;"
Application,"Paano i-count ang orders per user gamit ang LEFT JOIN?",,"SELECT u.name, COUNT(o.id) FROM users u LEFT JOIN orders o ON ... GROUP BY u.name;"
Application,"Paano mag-self join para makuha ang manager ng bawat employee?",,"SELECT e.name, m.name FROM employees e JOIN employees m ON e.manager_id = m.id;"
Application,"Paano gumawa ng cross join?",,"SELECT * FROM sizes CROSS JOIN colors;"
Application,"Paano mag-compare ng rows sa parehong table?",,"I-join ang table sa sarili nito na may ibang alias."
Application,"Paano makuha ang lahat ng pairs ng products?",,"SELECT a.name, b.name FROM products a CROSS JOIN products b;"
Application,"Paano i-model ang hierarchy sa self join?",,"I-add ang manager_id column na tumutukoy sa id ng parent row."
Application,"Paano gumamit ng scalar subquery sa SELECT?",,"SELECT name, (SELECT MAX(price) FROM products) AS max_price FROM categories;"
Application,"Paano gumamit ng subquery sa WHERE?",,"SELECT * FROM orders WHERE user_id IN (SELECT id FROM users WHERE active = 1);"
Application,"Paano gumamit ng derived table?",,"SELECT * FROM (SELECT id, name FROM users WHERE active = 1) AS active_users;"
Application,"Paano i-compare ang column sa subquery result?",,"SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);"
Application,"Paano gumamit ng EXISTS?",,"SELECT * FROM users u WHERE EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.id);"
Application,"Paano mahanap ang users na may orders gamit ang EXISTS?",,"SELECT * FROM users u WHERE EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.id);"
Application,"Paano mahanap ang users na walang orders?",,"SELECT * FROM users u WHERE NOT EXISTS (SELECT 1 FROM orders o WHERE o.user_id = u.id);"
Application,"Paano mag-filter base sa maximum value ng bawat group?",,"SELECT * FROM orders o WHERE o.amount = (SELECT MAX(amount) FROM orders WHERE user_id = o.user_id);"
Application,"Paano gumamit ng correlated subquery sa SELECT?",,"SELECT u.name, (SELECT COUNT(*) FROM orders o WHERE o.user_id = u.id) AS order_count FROM users u;"
Application,"Paano i-rewrite ang correlated subquery para mas mabilis?",,"Gamitin ang JOIN o window functions kung posible."
Application,"Paano mag-combine ng dalawang queries gamit ang UNION?",,"SELECT name FROM users UNION SELECT name FROM admins;"
Application,"Paano i-combine ang results nang may duplicates?",,"SELECT name FROM users UNION ALL SELECT name FROM admins;"
Application,"Paano makuha ang rows na nasa parehong queries?",,"SELECT id FROM orders INTERSECT SELECT order_id FROM payments;"
Application,"Paano makuha ang rows na wala sa pangalawang query?",,"SELECT id FROM users EXCEPT SELECT user_id FROM banned;"
