DOM Manipulation,"Paano mo i-modify ang HTML elements?",,"Gamitin ang DOM manipulation."
Event Listeners,"Paano mo i-handle ang user actions?",,"Gamitin ang event listeners."
Fetch API,"Paano mo gagawa ng HTTP requests?",,"Gamitin ang fetch API."
AJAX,"Paano mo i-load ang data nang hindi nagre-refresh?",,"Gamitin ang AJAX."
Web APIs,"Paano mo gagamitin ang built-in na APIs ng browser?",,"Gamitin ang web APIs."
DOM Manipulation,"Ano ang tawag sa pagbago ng HTML elements gamit ang JavaScript?",,"DOM manipulation."
Event Listeners,"Ano ang tawag sa pag-react sa user actions?",,"Event listeners."
Fetch API,"Ano ang tawag sa paggawa ng HTTP requests?",,"Fetch API."
AJAX,"Ano ang tawag sa pag-load ng data nang hindi nagre-refresh?",,"AJAX."
Web APIs,"Ano ang tawag sa built-in na APIs ng browser?",,"Web APIs."
