Array Methods,"Paano mo i-manipulate ang arrays?",,"Gamitin ang array methods."
Destructuring,"Paano mo i-extract ang values mula sa arrays o objects?",,"Gamitin ang destructuring."
Spread & Rest Operators,"Paano mo i-copy o i-gather ang values?",,"Gamitin ang spread at rest operators."
Modules,"Paano mo i-organize ang code sa separate files?",,"Gamitin ang modules."
Classes,"Paano mo gagamitin ang OOP approach?",,"Gamitin ang classes."
Symbol,"Paano mo gagamitin ang unique na identifier?",,"Gamitin ang symbol."
Array Methods,"Ano ang tawag sa map, filter, reduce at iba pa?",,"Array methods."
Destructuring,"Ano ang tawag sa pag-extract ng values?",,"Destructuring."
Spread & Rest Operators,"Ano ang tawag sa pag-copy o pag-gather ng values?",,"Spread at rest operators."
Modules,"Ano ang tawag sa paghihiwalay ng code sa separate files?",,"Modules."
Classes,"Ano ang tawag sa blueprint para sa objects gamit ang OOP?",,"Classes."
Symbol,"Ano ang tawag sa unique na primitive value?",,"Symbol."
