Application,"Paano i-determine ang time complexity ng loop?","Bilangin kung ilang beses tumatakbo ang loop relative sa input size.","for (i in 0..n) → O(n)"
Application,"Paano mag-compare ng O(n) vs O(log n)?","Ang O(log n) ay mas mabilis kasi nag-h-halves ang search space.","Binary search O(log n) vs Linear search O(n)"
Application,"Paano mag-identify ng O(n^2)?","Kapag may nested loop na parehong nag-i-iterate sa input.","for i in 0..n { for j in 0..n { } } → O(n^2)"
Application,"Paano mag-express ng constant time?","Gamitin ang O(1) kapag fixed ang operations regardless of input.","val x = arr[5] → O(1)"
Application,"Paano mag-analyze ng recursive algorithm?","Gamitin ang recurrence relation: T(n) = T(n/2) + O(1) for binary search.","T(n) = 2T(n/2) + O(n) → O(n log n)"
Application,"Paano mag-optimize ng space?","Gamitin ang in-place algorithm na walang extra data structures.","Reverse array in-place: two pointers"
Application,"Paano mag-decide ng time vs space tradeoff?","Kung may extra memory, mag-prefer ng faster algorithm gamit ang lookup table.","Cache results in HashMap for O(1) lookup"
Application,"Paano mag-analyze ng space complexity?","Bilangin ang extra variables at data structures na nag-grow sa input size.","HashMap with n entries → O(n) space"
Application,"Paano mag-determine ng constraints?","Tignan ang input size: kung n <= 10^6, ang O(n^2) ay feasible.","n <= 1000 → O(n^3) OK, n <= 10^6 → O(n log n) needed"
Application,"Paano mag-compare ng algorithms?","Gamitin ang Big-O para i-compare ang growth rates.","O(n log n) sorting vs O(n^2) sorting"
Application,"Paano mag-analyze ng single loop?","Bilangin ang iterations: kung nag-i-iterate sa n elements, ang complexity ay O(n).","for (i in 0..n) → O(n)"
Application,"Paano mag-analyze ng nested loops?","Multiply ang iterations ng bawat loop: O(n) * O(m) = O(n*m).","for i in 0..n { for j in 0..m { } } → O(nm)"
Application,"Paano mag-analyze ng recursion?","Gamitin ang recurrence relation at Master Theorem.","T(n) = 2T(n/2) + O(n) → O(n log n)"
Application,"Paano mag-detect ng tail recursion?","Tignan kung ang recursive call ay last operation sa function.","fun factorial(n, acc) = if (n == 0) acc else factorial(n-1, n*acc)"
Application,"Paano mag-analyze ng mixed loop at recursion?","I-separate ang analysis: loop iterations * recursive calls per iteration.","Loop calling recursive function → O(n * T(k))"
Application,"Paano mag-understand ng problem?","Basahin nang mabuti, mag-draw ng examples, at i-clarify ang constraints.","Read problem > draw examples > clarify constraints"
Application,"Paano mag-plan ng solution?","I-list ang possible approaches at i-compare ang time/space complexity.","List approaches > compare O(n) vs O(n log n)"
Application,"Paano mag-test ng edge cases?","Mag-isip ng empty input, single element, at boundary values.","Test: empty array, one element, all same values"
Application,"Paano mag-dry run ng algorithm?","I-trace ang code gamit ang pen at paper na may sample input.","Trace: i=0, arr[0]=3, swap arr[0] and arr[1]"
Application,"Paano mag-optimize ng brute force?","Tignan ang patterns: kaya bang i-convert sa O(n) gamit ang HashMap.","Brute force O(n^2) → optimize to O(n) using HashMap"
Application,"Paano mag-access ng array element?","Gamitin ang zero-based index.","val x = arr[0]"
Application,"Paano mag-slice ng array?","Gamitin ang slice function na may start at end index.","arr.slice(1, 4)"
Application,"Paano mag-reverse ng array in-place?","Gamitin ang two pointers na nag-s-swap sa opposite ends.","var i = 0; var j = n-1; while(i < j) swap(arr, i++, j--)"
Application,"Paano mag-insert sa gitna ng array?","I-shift ang elements pakanan at i-insert ang bago.","arr.add(index, value)"
Application,"Paano mag-traverse ng array?","Gamitin ang for loop o forEach.","for (item in arr) { process(item) }"
Application,"Paano mag-find ng pair na may sum?","Gamitin ang two pointers sa sorted array.","left=0, right=n-1; while(left<right) sum=arr[left]+arr[right]"
Application,"Paano mag-partition ng array?","Gamitin ang pivot at i-move ang smaller elements sa left.","pivot = arr[high]; i = low; for j in low..high"
Application,"Paano mag-merge ng two sorted arrays?","Gamitin ang two pointers at i-compare elements.","while(i < m && j < n) { if (a[i] < b[j]) result.add(a[i++]) }"
Application,"Paano mag-remove ng duplicates?","Gamitin ang two pointers: slow para sa unique, fast para sa traversal.","slow = 0; for fast in 1..n { if (arr[fast] != arr[slow]) arr[++slow] = arr[fast] }"
Application,"Paano mag-check ng palindrome?","Gamitin ang two pointers sa opposite ends.","left=0, right=n-1; while(left<right) if(arr[left++]!=arr[right--]) return false"
Application,"Paano mag-find ng max subarray sum of size k?","Gamitin ang fixed sliding window.","windowSum = sum of first k elements; for i in k..n: max = max(max, windowSum)"
Application,"Paano mag-find ng longest substring without repeats?","Gamitin ang dynamic sliding window na may HashMap.","left=0; for right in 0..n: if duplicate, move left"
Application,"Paano mag-compute ng running sum?","I-maintain ang window sum habang nag-m-move.","windowSum += arr[right]; windowSum -= arr[left]"
Application,"Paano mag-solve ng minimum window?","I-expand hanggang satisfied, then i-shrink para mag-optimize.","expand right until condition met; shrink left to minimize"
Application,"Paano mag-find ng max average?","Gamitin ang fixed window na may sum division.","maxAvg = max(windowSum / k for all windows)"
Application,"Paano mag-build ng prefix sum array?","I-cumulate ang sums mula sa left.","prefix[0] = 0; for i in 0..n: prefix[i+1] = prefix[i] + arr[i]"
Application,"Paano mag-compute ng range sum?","Gamitin ang prefix[right+1] - prefix[left].","sum = prefix[r+1] - prefix[l]"
Application,"Paano mag-solve ng subarray sum equals k?","Gamitin ang prefix sum na may HashMap.","prefixSum - k sa HashMap means may subarray na sum = k"
Application,"Paano mag-apply ng 2D prefix sum?","I-compute ang cumulative sum sa rows then columns.","prefix[i][j] = prefix[i-1][j] + prefix[i][j-1] - prefix[i-1][j-1]"
