Debouncing,"Paano mo i-delay ang function execution?",,"Gamitin ang debouncing."
Throttling,"Paano mo i-limit ang function execution frequency?",,"Gamitin ang throttling."
requestAnimationFrame,"Paano mo gagawin ang smooth na animations?",,"Gamitin ang requestAnimationFrame."
Profiling,"Paano mo i-analyze ang performance ng code?",,"Gamitin ang profiling."
Bundle Analysis,"Paano mo makikita ang bundle size breakdown?",,"Gamitin ang bundle analysis."
Debouncing,"Ano ang tawag sa pag-delay ng function execution?",,"Debouncing."
Throttling,"Ano ang tawag sa pag-limit ng function execution frequency?",,"Throttling."
requestAnimationFrame,"Ano ang tawag sa smooth na animations sa browser?",,"RequestAnimationFrame."
Profiling,"Ano ang tawag sa pag-analyze ng performance ng JavaScript code?",,"Profiling."
Bundle Analysis,"Ano ang tawag sa pagtingin ng bundle size breakdown?",,"Bundle analysis."
