Denormalization,"Paano mo pabilisin ang queries sa pamamagitan ng duplication?",,"Gamitin ang denormalization."
Composite Index,"Paano mo i-index ang maraming columns?",,"Gamitin ang composite index."
Covering Index,"Ano ang index na nagco-cover ng buong query?",,"Covering index."
ACID Properties,"Ano ang mga properties na nagpo-protect ng transaction consistency?",,"ACID properties."
Denormalization,"Kailan mo gagamitin ang denormalization?",,"Kapag kailangan ng mas mabilis na queries."
Composite Index,"Kailan mo gagamitin ang composite index?",,"Kapag kailangan ng multiple columns na indexed."
Covering Index,"Ano ang benefit ng covering index?",,"Hindi na kailangang mag-access sa table data."
ACID Properties,"Ano ang tawag sa garantiya ng transaction consistency?",,"ACID properties."
Denormalization,"Ano ang trade-off ng denormalization?",,"Mas mabilis na queries pero mas maraming duplication."
Composite Index,"Ano ang tawag sa index na gumagamit ng maraming columns?",,"Composite index."
Covering Index,"Ano ang tawag sa index na nagco-cover ng buong query?",,"Covering index."
ACID Properties,"Ano ang ibig sabihin ng ACID?",,"Atomicity, Consistency, Isolation, Durability."
Denormalization,"Bakit mo gagamitin ang denormalization?",,"Para sa mas mabilis na queries."
Composite Index,"Ano ang advantage ng composite index?",,"Maaaring mas mabilis kaysa single-column index."
Covering Index,"Paano mo malalaman kung covering index ang kailangan?",,"Kung ang index ay nagco-cover ng lahat ng columns sa query."
ACID Properties,"Bakit mahalaga ang ACID properties?",,"Para sa consistency at reliability ng transactions."
Denormalization,"Ano ang disadvantage ng denormalization?",,"Mas maraming data duplication at possible na inconsistency."
Composite Index,"Ano ang tawag sa index na may multiple columns?",,"Composite index."
Covering Index,"Ano ang tawag sa index na sapat na para sa query?",,"Covering index."
ACID Properties,"Ano ang tawag sa Atomicity, Consistency, Isolation, Durability?",,"ACID properties."
Denormalization,"Paano mo i-apply ang denormalization?",,"Magdagdag ng duplicate columns o tables."
Composite Index,"Paano mo gagamitin ang composite index?",,"Maglagay ng index sa multiple columns."
Covering Index,"Paano mo makukuha ang covering index benefit?",,"Piliin ang tamang columns para sa index."
ACID Properties,"Paano mo poprotektahan ang transaction consistency?",,"Gamitin ang ACID properties."
Denormalization,"Ano ang example ng denormalization?",,"Pagdagdag ng computed columns sa table."
Composite Index,"Ano ang example ng composite index?",,"Index sa (last_name, first_name)."
Covering Index,"Ano ang example ng covering index?",,"Index sa (user_id, created_at) para sa query na SELECT user_id, created_at."
ACID Properties,"Ano ang example ng ACID?",,"Bank transfer na dapat consistent ang dalawang accounts."
