Memoization,"Ang {{c1::Memoization}} ay ang pag-cache ng computations para hindi mag-recompute.",,Memoization
Virtualization,"Ang {{c1::Virtualization}} ay ang pag-render lang ng visible items sa lists.",,Virtualization
Memoization,"Ang {{c1::Memoization}} ay pag-cache ng computations para hindi mag-recompute.",,Memoization
Virtualization,"Ang {{c1::Virtualization}} ay pag-render lang ng visible items sa lists.",,Virtualization
Memoization,"Ang {{c1::Memoization}} ay para sa computation optimization.",,Memoization
Virtualization,"Ang {{c1::Virtualization}} ay para sa efficient na list rendering.",,Virtualization
Memoization,"Paano mo i-cache ang computations para hindi mag-recompute?",,"Gamitin ang memoization."
Virtualization,"Paano mo i-render ang visible items lang sa lists?",,"Gamitin ang virtualization."
Memoization,"Ano ang tawag sa pag-cache ng computations para hindi mag-recompute?",,"Memoization."
Virtualization,"Ano ang tawag sa pag-render lang ng visible items sa lists?",,"Virtualization."
Memoization,"Ano ang benefit ng memoization?",,"Mas mabilis na computation."
Virtualization,"Ano ang benefit ng virtualization?",,"Mas mabilis na list rendering."
