Application,"Paano mag-declare ng immutable variable sa Kotlin?","Gamitin ang val keyword.","val name = \"Android\""
Application,"Paano mag-check ng null value nang hindi nag-crash?","Gamitin ang safe call operator (?.).","name?.length"
Application,"Paano magbigay ng default value kapag null?","Gamitin ang elvis operator (?:).","name ?: \"default\""
Application,"Paano mag-use ng when expression sa Kotlin?","I-pass ang value at mag-add ng branches.","when(x) { 1 -> \"one\" }"
Application,"Paano mag-convert ng String to Int sa Kotlin?","Gamitin ang toIntOrNull() para safe conversion.","\"123\".toIntOrNull()"
Application,"Paano mag-create ng data class sa Kotlin?","Gamitin ang data class keyword.","data class User(val name: String)"
Application,"Paano mag-inherit sa isang class sa Kotlin?","Gamitin ang colon (:) at i-extend ang parent class.","class Child : Parent()"
Application,"Paano mag-define ng interface sa Kotlin?","Gamitin ang interface keyword.","interface Drawable { fun draw() }"
Application,"Paano mag-create ng singleton sa Kotlin?","Gamitin ang object declaration.","object Singleton { fun doWork() {} }"
Application,"Paano mag-use ng sealed class para sa state?","Gamitin ang sealed class at i-define ang subclasses.","sealed class State { object Loading : State() }"
Application,"Paano mag-create ng lambda function sa Kotlin?","Gamitin ang curly braces at arrow syntax.","{ x: Int -> x * 2 }"
Application,"Paano mag-use ng let para sa nullable handling?","I-chain ang let block sa nullable variable.","name?.let { println(it) }"
Application,"Paano mag-create ng extension function?","I-prefix ang function name sa class name.","fun String.addExclamation() = this + \"!\""
Application,"Paano mag-use ng apply para mag-configure ng object?","I-call ang apply block sa object instance.","val tv = TextView(ctx).apply { text = \"Hi\" }"
Application,"Paano mag-pass ng function as parameter?","Gamitin ang function type syntax.","fun execute(action: () -> Unit) { action() }"
Application,"Paano mag-filter ng list sa Kotlin?","Gamitin ang filter function na may lambda.","numbers.filter { it > 5 }"
Application,"Paano mag-sort ng list by property?","Gamitin ang sortedBy function.","users.sortedBy { it.name }"
Application,"Paano mag-group ng list of objects?","Gamitin ang groupBy function na may key selector.","items.groupBy { it.category }"
Application,"Paano mag-create ng mutable map sa Kotlin?","Gamitin ang mutableMapOf function.","val map = mutableMapOf(\"a\" to 1)"
