Point-in-Time Recovery,"Ang {{c1::Point-in-Time Recovery}} ay ang pagbalik ng data sa specific na oras.",,Point-in-Time Recovery
Deadlock Handling,"Ang {{c1::Deadlock Handling}} ay ang pag-resolve ng sabay na nag-aagaw na transactions.",,Deadlock Handling
Failover,"Ang {{c1::Failover}} ay ang automatic na pag-switch sa backup server.",,Failover
Point-in-Time Recovery,"Ang {{c1::Point-in-Time Recovery}} ay nagbabalik ng data sa specific na oras.",,Point-in-Time Recovery
Deadlock Handling,"Ang {{c1::Deadlock Handling}} ay nagre-resolve ng sabay na transactions.",,Deadlock Handling
Failover,"Ang {{c1::Failover}} ay automatic na pag-switch sa backup server.",,Failover
Point-in-Time Recovery,"Ang {{c1::Point-in-Time Recovery}} ay para sa data recovery.",,Point-in-Time Recovery
Deadlock Handling,"Ang {{c1::Deadlock Handling}} ay para sa transaction conflicts.",,Deadlock Handling
Failover,"Ang {{c1::Failover}} ay para sa high availability.",,Failover
Point-in-Time Recovery,"Paano mo ibabalik ang data sa specific na oras?",,"Gamitin ang point-in-time recovery."
Deadlock Handling,"Paano mo.resolve ang sabay na transactions?",,"Gamitin ang deadlock handling."
Failover,"Paano mo a-automate ang pag-switch sa backup server?",,"Gamitin ang failover."
Point-in-Time Recovery,"Ano ang tawag sa pagbalik ng data sa specific na oras?",,"Point-in-time recovery."
Deadlock Handling,"Ano ang tawag sa pag-resolve ng sabay na transactions?",,"Deadlock handling."
Failover,"Ano ang tawag sa automatic na pag-switch sa backup server?",,"Failover."
Point-in-Time Recovery,"Ano ang benefit ng point-in-time recovery?",,"Naibabalik ang data sa specific na oras."
Deadlock Handling,"Ano ang benefit ng deadlock handling?",,"Na-resolve ang transaction conflicts."
Failover,"Ano ang benefit ng failover?",,"High availability ng system."
Point-in-Time Recovery,"Bakit kailangan ng point-in-time recovery?",,"Kapag may data corruption o nawalang data."
Deadlock Handling,"Bakit kailangan ng deadlock handling?",,"Kapag may sabay na transactions na nag-aagaw."
Failover,"Bakit kailangan ng failover?",,"Kapag bumagsak ang primary server."
Point-in-Time Recovery,"Kailan mo gagamitin ang point-in-time recovery?",,"Kapag kailangan ibalik ang data sa specific na oras."
Deadlock Handling,"Kailan mo gagamitin ang deadlock handling?",,"Kapag may deadlock sa transactions."
Failover,"Kailan mo gagamitin ang failover?",,"Kapag bumagsak ang primary server."
Point-in-Time Recovery,"Ano ang example ng point-in-time recovery?",,"Pagbalik ng database sa state bago ang maling migration."
Deadlock Handling,"Ano ang example ng deadlock handling?",,"Pag-kill ng isa sa mga transactions."
Failover,"Ano ang example ng failover?",,"Pag-switch sa slave server kapag bumagsak ang master."
Point-in-Time Recovery,"Paano mo i-implement ang point-in-time recovery?",,"Gamitin ang WAL logs at restore command."
Deadlock Handling,"Paano mo i-implement ang deadlock handling?",,"Mag-set ng lock timeout at deadlock detection."
Failover,"Paano mo i-implement ang failover?",,"Gamitin ang clustering at health checks."
