Functional Programming,"Paano mo gagamitin ang functional programming?",,"Gamitin ang pure functions at avoid mutation."
Imperative vs Declarative,"Paano mo malalaman ang pagkakaiba ng how at what?",,"Tingnan ang imperative vs declarative."
Higher-Order Functions,"Paano mo gagamitin ang higher-order functions?",,"I-pass ang function bilang argument."
Recursion,"Paano mo gagamitin ang recursion?",,"I-call ang function sa sarili nito."
Immutable Data,"Paano mo maiiwasan ang data mutation?",,"Gamitin ang immutable data."
Functional Programming,"Ano ang tawag sa paggawa ng code gamit ang pure functions?",,"Functional programming."
Imperative vs Declarative,"Ano ang tawag sa pagkakaiba ng how at what?",,"Imperative vs declarative."
Higher-Order Functions,"Ano ang tawag sa functions na tumatanggap ng functions?",,"Higher-order functions."
Recursion,"Ano ang tawag sa function na tumatawag sa sarili?",,"Recursion."
Immutable Data,"Ano ang tawag sa pag-iwas ng data mutation?",,"Immutable data."
