Array Methods,"Ang mga {{c1::Array Methods}} ay ang map, filter, reduce at iba pa.",,Array Methods
Destructuring,"Ang {{c1::Destructuring}} ay ang pag-extract ng values mula sa arrays o objects.",,Destructuring
Spread & Rest Operators,"Ang mga {{c1::Spread & Rest Operators}} ay ang pag-copy o pag-gather ng values.",,Spread & Rest Operators
Modules,"Ang mga {{c1::Modules}} ay ang paghihiwalay ng code sa separate files.",,Modules
Classes,"Ang mga {{c1::Classes}} ay ang blueprint para sa objects gamit ang OOP.",,Classes
Symbol,"Ang {{c1::Symbol}} ay ang unique na primitive value.",,Symbol
Array Methods,"Ang mga {{c1::Array Methods}} ay map, filter, reduce at iba pa.",,Array Methods
Destructuring,"Ang {{c1::Destructuring}} ay pag-extract ng values mula sa arrays o objects.",,Destructuring
Spread & Rest Operators,"Ang mga {{c1::Spread & Rest Operators}} ay pag-copy o pag-gather ng values.",,Spread & Rest Operators
Modules,"Ang mga {{c1::Modules}} ay paghihiwalay ng code sa separate files.",,Modules
Classes,"Ang mga {{c1::Classes}} ay blueprint para sa objects gamit ang OOP.",,Classes
Symbol,"Ang {{c1::Symbol}} ay unique na primitive value.",,Symbol
Array Methods,"Ang mga {{c1::Array Methods}} ay para sa array manipulation.",,Array Methods
Destructuring,"Ang {{c1::Destructuring}} ay para sa mas simpleng data extraction.",,Destructuring
Spread & Rest Operators,"Ang mga {{c1::Spread & Rest Operators}} ay para sa flexible na data handling.",,Spread & Rest Operators
Modules,"Ang mga {{c1::Modules}} ay para sa code organization.",,Modules
Classes,"Ang mga {{c1::Classes}} ay para sa OOP approach.",,Classes
Symbol,"Ang {{c1::Symbol}} ay para sa unique identifiers.",,Symbol
Array Methods,"Paano mo i-manipulate ang arrays?",,"Gamitin ang array methods."
Destructuring,"Paano mo i-extract ang values mula sa arrays o objects?",,"Gamitin ang destructuring."
Spread & Rest Operators,"Paano mo i-copy o i-gather ang values?",,"Gamitin ang spread at rest operators."
Modules,"Paano mo i-organize ang code sa separate files?",,"Gamitin ang modules."
Classes,"Paano mo gagamitin ang OOP approach?",,"Gamitin ang classes."
Symbol,"Paano mo gagamitin ang unique na identifier?",,"Gamitin ang symbol."
Array Methods,"Ano ang tawag sa map, filter, reduce at iba pa?",,"Array methods."
Destructuring,"Ano ang tawag sa pag-extract ng values?",,"Destructuring."
Spread & Rest Operators,"Ano ang tawag sa pag-copy o pag-gather ng values?",,"Spread at rest operators."
Modules,"Ano ang tawag sa paghihiwalay ng code sa separate files?",,"Modules."
Classes,"Ano ang tawag sa blueprint para sa objects gamit ang OOP?",,"Classes."
Symbol,"Ano ang tawag sa unique na primitive value?",,"Symbol."
