Divide and Conquer,"Paano mo hahatiin ang problema sa mas maliliit na sub-problems?",,"Gamitin ang divide and conquer."
Greedy Algorithm,"Paano mo pipiliin ang locally optimal na choice?",,"Gamitin ang greedy algorithm."
Recursion,"Paano mo gagamitin ang function na tumatawag sa sarili?",,"Gamitin ang recursion."
Stack Overflow,"Paano mo maiiwasan ang stack overflow?",,"Gamitin ang tail recursion o iteration."
Tail Recursion,"Paano mo i-optimize ang recursion?",,"Gamitin ang tail recursion."
Divide and Conquer,"Ano ang tawag sa paghahati ng problema sa mas maliliit na sub-problems?",,"Divide and conquer."
Greedy Algorithm,"Ano ang tawag sa pagpili ng locally optimal na choice sa bawat step?",,"Greedy algorithm."
Recursion,"Ano ang tawag sa function na tumatawag sa sarili nito?",,"Recursion."
Stack Overflow,"Ano ang tawag sa error kapag naubusan ng stack space?",,"Stack overflow."
Tail Recursion,"Ano ang tawag sa recursion na ang last action ay ang recursive call?",,"Tail recursion."
