File Handling,"Paano mo i-read at i-write ang files?",,"Gamitin ang file handling."
Database Connection,"Paano mo i-connect sa MySQL gamit ang PDO?",,"Gamitin ang database connection."
Prepared Statements,"Paano mo ligtas na i-query ang database?",,"Gamitin ang prepared statements."
Sessions,"Paano mo i-store ang data sa server para sa user?",,"Gamitin ang sessions."
HTTP Headers,"Paano mo i-set ang response headers?",,"Gamitin ang HTTP headers."
Regular Expressions,"Paano mo gagawa ng pattern matching sa strings?",,"Gamitin ang regular expressions."
Email Sending,"Paano mo magpapadala ng emails gamit ang PHPMailer?",,"Gamitin ang email sending."
File Handling,"Ano ang tawag sa pagbasa at pag-write ng files?",,"File handling."
Database Connection,"Ano ang tawag sa pag-connect sa MySQL gamit ang PDO?",,"Database connection."
Prepared Statements,"Ano ang tawag sa ligtas na pag-query ng database?",,"Prepared statements."
Sessions,"Ano ang tawag sa pag-iimbak ng data sa server para sa user?",,"Sessions."
HTTP Headers,"Ano ang tawag sa pag-set ng response headers?",,"HTTP headers."
Regular Expressions,"Ano ang tawag sa pattern matching sa strings?",,"Regular expressions."
Email Sending,"Ano ang tawag sa pagpapadala ng emails gamit ang PHPMailer?",,"Email sending."
