Design System,"Paano mo gagawa ng consistent na UI?",,"Gamitin ang design system."
Component Styling,"Paano mo i-style ang components?",,"Gamitin ang component styling."
CSS-in-JS,"Paano mo i-style gamit ang JavaScript?",,"Gamitin ang CSS-in-JS."
Responsive Design,"Paano mo gagawa ng UI na nag-a-adapt sa screen size?",,"Gamitin ang responsive design."
Accessibility,"Paano mo gagawa ng UI na accessible sa lahat?",,"Gamitin ang accessibility."
Animation,"Paano mo dagdagan ng movements ang UI?",,"Gamitin ang animation."
Theming,"Paano mo i-manage ang colors at styles across the app?",,"Gamitin ang theming."
Design System,"Ano ang tawag sa set ng reusable na UI components?",,"Design system."
Component Styling,"Ano ang tawag sa mga paraan ng pag-style ng components?",,"Component styling."
CSS-in-JS,"Ano ang tawag sa pag-style gamit ang JavaScript objects?",,"CSS-in-JS."
Responsive Design,"Ano ang tawag sa paggawa ng UI na nag-a-adapt sa screen size?",,"Responsive design."
Accessibility,"Ano ang tawag sa paggawa ng UI na accessible sa lahat ng users?",,"Accessibility."
Animation,"Ano ang tawag sa pagdagdag ng movements para sa better UX?",,"Animation."
Theming,"Ano ang tawag sa pag-manage ng colors at styles across the app?",,"Theming."
