Binary Search,"Paano mo mag-search sa sorted na array?",,"Gamitin ang binary search."
Insertion Sort,"Paano mo i-sort ang array gamit ang insertion?",,"Gamitin ang insertion sort."
Merge Sort,"Paano mo i-sort ang array gamit ang divide and conquer?",,"Gamitin ang merge sort."
Quick Sort,"Paano mo i-sort ang array gamit ang pivot?",,"Gamitin ang quick sort."
Heap Sort,"Paano mo i-sort ang array gamit ang heap?",,"Gamitin ang heap sort."
Counting Sort,"Paano mo i-sort ang integers gamit ang counting?",,"Gamitin ang counting sort."
Binary Search,"Ano ang tawag sa pag-search sa sorted array gamit ang divide and conquer?",,"Binary search."
Insertion Sort,"Ano ang tawag sa pag-sort sa pamamagitan ng pag-insert ng element?",,"Insertion sort."
Merge Sort,"Ano ang tawag sa divide and conquer na sorting algorithm?",,"Merge sort."
Quick Sort,"Ano ang tawag sa divide and conquer na sorting gamit ang pivot?",,"Quick sort."
Heap Sort,"Ano ang tawag sa sorting algorithm na gumagamit ng heap?",,"Heap sort."
Counting Sort,"Ano ang tawag sa non-comparison based na sorting algorithm?",,"Counting sort."
