Singleton,"Paano mo gagamitin ang singleton pattern?",,"Gumawa ng class na may isang instance lang."
Factory,"Paano mo gagamitin ang factory pattern?",,"Gumawa ng factory method para sa object creation."
Observer,"Paano mo gagamitin ang observer pattern?",,"Mag-subscribe sa changes ng subject."
Module Pattern,"Paano mo gagamitin ang module pattern?",,"I-encapsulate ang private state sa loob ng module."
MVC Pattern,"Paano mo gagamitin ang MVC pattern?",,"Ihiwalay ang model, view, at controller."
Pub/Sub,"Paano mo gagamitin ang pub/sub pattern?",,"Mag-publish at mag-subscribe sa events."
Singleton,"Ano ang tawag sa pattern na may isang instance lang?",,"Singleton."
Factory,"Ano ang tawag sa pattern na nagre-create ng objects?",,"Factory."
Observer,"Ano ang tawag sa pattern na nagno-notify ng changes?",,"Observer."
Module Pattern,"Ano ang tawag sa pag-encapsulate ng private state?",,"Module pattern."
MVC Pattern,"Ano ang tawag sa paghihiwalay ng model, view, at controller?",,"MVC pattern."
Pub/Sub,"Ano ang tawag sa communication pattern gamit ang events?",,"Pub/sub."
