PHP Internals,"Paano mo maiintindihan ang PHP engine?",,"Tingnan ang PHP internals."
Extension Development,"Paano mo gagawa ng sariling PHP extensions?",,"Gamitin ang extension development."
Zephir & PHP Extensions,"Paano mo gagawa ng C-level na extensions?",,"Gamitin ang Zephir at PHP extensions."
Microservices with PHP,"Paano mo i-split ang app sa smaller services?",,"Gamitin ang microservices with PHP."
Event-Driven Architecture,"Paano mo gagamitin ang communication gamit ang events?",,"Gamitin ang event-driven architecture."
Domain-Driven Design,"Paano mo i-model ang business domain sa code?",,"Gamitin ang domain-driven design."
Hexagonal Architecture,"Paano mo i-separate ang core logic sa infrastructure?",,"Gamitin ang hexagonal architecture."
PHP Internals,"Ano ang tawag sa loob ng PHP engine kung paano ito gumagana?",,"PHP internals."
Extension Development,"Ano ang tawag sa paggawa ng sariling PHP extensions?",,"Extension development."
Zephir & PHP Extensions,"Ano ang tawag sa paggawa ng C-level na extensions?",,"Zephir at PHP extensions."
Microservices with PHP,"Ano ang tawag sa pag-split ng app sa smaller services?",,"Microservices with PHP."
Event-Driven Architecture,"Ano ang tawag sa communication gamit ang events?",,"Event-driven architecture."
Domain-Driven Design,"Ano ang tawag sa pag-model ng business domain sa code?",,"Domain-driven design."
Hexagonal Architecture,"Ano ang tawag sa paghihiwalay ng core logic sa infrastructure?",,"Hexagonal architecture."
