Database Design,"Paano mo gagawa ng efficient na table structure?",,"Gamitin ang database design."
Normalization,"Paano mo babawasan ang data duplication?",,"Gamitin ang normalization."
Caching,"Paano mo i-cache ang madalas na data?",,"Gamitin ang caching."
Rate Limiting,"Paano mo i-limit ang API requests?",,"Gamitin ang rate limiting."
Pagination,"Paano mo hahatiin ang results sa pages?",,"Gamitin ang pagination."
Search Implementation,"Paano mo gagawa ng search functionality?",,"Gamitin ang search implementation."
Database Design,"Ano ang tawag sa paggawa ng efficient na table structure?",,"Database design."
Normalization,"Ano ang tawag sa pagbawas ng data duplication?",,"Normalization."
Caching,"Ano ang tawag sa pag-cache ng madalas na data?",,"Caching."
Rate Limiting,"Ano ang tawag sa pag-limit ng API requests?",,"Rate limiting."
Pagination,"Ano ang tawag sa paghahati ng results sa pages?",,"Pagination."
Search Implementation,"Ano ang tawag sa paggawa ng search functionality?",,"Search implementation."
