Binary Search Tree,"Paano mo mag-search sa sorted na tree?",,"Gamitin ang binary search tree."
Heap,"Paano mo i-implement ang priority queue?",,"Gamitin ang heap."
Min Heap,"Paano mo mahanap ang minimum element?",,"Gamitin ang min heap."
Max Heap,"Paano mo mahanap ang maximum element?",,"Gamitin ang max heap."
Collision,"Paano mo i-handle ang same hash na keys?",,"Gamitin ang collision handling."
Adjacency Matrix,"Paano mo i-represent ang graph gamit ang 2D array?",,"Gamitin ang adjacency matrix."
Adjacency List,"Paano mo i-represent ang graph gamit ang lists?",,"Gamitin ang adjacency list."
Binary Search Tree,"Ano ang tawag sa binary tree na may ordering property?",,"Binary search tree."
Heap,"Ano ang tawag sa complete binary tree na may heap property?",,"Heap."
Min Heap,"Ano ang tawag sa heap na ang parent ay laging mas mababa?",,"Min heap."
Max Heap,"Ano ang tawag sa heap na ang parent ay laging mas mataas?",,"Max heap."
Collision,"Ano ang tawag sa pagkakataon na dalawang key ay may same hash?",,"Collision."
Adjacency Matrix,"Ano ang tawag sa 2D array na nagre-represent ng graph?",,"Adjacency matrix."
Adjacency List,"Ano ang tawag sa list na nagre-represent ng graph neighbors?",,"Adjacency list."
