Re-render Optimization,"Paano mag-detect ng unnecessary re-renders?",,"Gamit ang React DevTools Profiler at i-enable ang "Highlight updates when components render" setting."
Re-render Optimization,"Paano mag-optimize ang parent-child re-render relationship?",,"I-wrap ang child sa React.memo at i-stabilize ang functions gamit ang useCallback."
Bundle Size,"Paano mag-analyze ang bundle size ng React Native app?",,"Gamit ang react-native-bundle-visualizer at Metro bundler source map analysis."
Bundle Size,"Paano mag-reduce ang bundle size ng app?",,"I-remove ang unused dependencies, i-enable ang tree shaking, at i-lazy-load ang malalaking modules."
Startup Performance,"Paano mag-optimize ang startup time ng React Native app?",,"I-enable ang Hermes engine, i-minimize ang initial dependencies, at i-use ang inline requires."
Startup Performance,"Ano ang cold start at warm start sa React Native?",,"Ang cold start ay unang launch ng app; ang warm start ay subsequent launches na may cached data."
Network Optimization,"Paano mag-implement ng request batching sa React Native?",,"I-group ang multiple API calls sa isang request gamit ang GraphQL o custom batching logic."
Network Optimization,"Paano mag-setup ng offline caching sa React Native?",,"Gamit ang React Query staleTime at cacheTime para i-preserve ang data kapag walang internet."
Memory Profiling,"Paano mag-detect ng memory leaks sa React Native?",,"Gamit ang Chrome DevTools Memory tab at i-take heap snapshots para sa comparison."
Memory Profiling,"Paano mag-fix ng memory leaks sa components?",,"I-cleanup ang useEffect subscriptions, i-remove ang event listeners, at i-cancel ang pending requests."
