Dijkstra's Algorithm,"Paano mo mahanap ang shortest path sa weighted graph?",,"Gamitin ang Dijkstra's algorithm."
Bellman-Ford Algorithm,"Paano mo mahanap ang shortest path na may negative weights?",,"Gamitin ang Bellman-Ford algorithm."
Floyd-Warshall Algorithm,"Paano mo mahanap ang shortest path sa lahat ng pairs?",,"Gamitin ang Floyd-Warshall algorithm."
Kruskal's Algorithm,"Paano mo mahanap ang minimum spanning tree gamit ang greedy?",,"Gamitin ang Kruskal's algorithm."
Prim's Algorithm,"Paano mo mahanap ang minimum spanning tree gamit ang priority queue?",,"Gamitin ang Prim's algorithm."
Strongly Connected Components,"Paano mo hanapin ang strongly connected components?",,"Gamitin ang Tarjan's o Kosaraju's algorithm."
Dijkstra's Algorithm,"Ano ang tawag sa shortest path algorithm para sa weighted graphs?",,"Dijkstra's algorithm."
Bellman-Ford Algorithm,"Ano ang tawag sa shortest path algorithm na kaya ang negative weights?",,"Bellman-Ford algorithm."
Floyd-Warshall Algorithm,"Ano ang tawag sa all-pairs shortest path algorithm?",,"Floyd-Warshall algorithm."
Kruskal's Algorithm,"Ano ang tawag sa minimum spanning tree algorithm gamit ang greedy?",,"Kruskal's algorithm."
Prim's Algorithm,"Ano ang tawag sa minimum spanning tree algorithm gamit ang priority queue?",,"Prim's algorithm."
Strongly Connected Components,"Ano ang tawag sa maximal na set ng reachable vertices?",,"Strongly connected components."
Dijkstra's Algorithm,"Ano ang time complexity ng Dijkstra's algorithm?",,"O((V + E) log V) gamit ang priority queue."
Bellman-Ford Algorithm,"Ano ang time complexity ng Bellman-Ford algorithm?",,"O(V * E)."
Floyd-Warshall Algorithm,"Ano ang time complexity ng Floyd-Warshall algorithm?",,"O(V^3)."
Kruskal's Algorithm,"Ano ang time complexity ng Kruskal's algorithm?",,"O(E log E)."
Prim's Algorithm,"Ano ang time complexity ng Prim's algorithm?",,"O((V + E) log V) gamit ang priority queue."
Strongly Connected Components,"Ano ang time complexity ng Tarjan's algorithm?",,"O(V + E)."
Dijkstra's Algorithm,"Kailan mo gagamitin ang Dijkstra's algorithm?",,"Kapag walang negative weights sa graph."
Bellman-Ford Algorithm,"Kailan mo gagamitin ang Bellman-Ford algorithm?",,"Kapag may negative weights sa graph."
Floyd-Warshall Algorithm,"Kailan mo gagamitin ang Floyd-Warshall algorithm?",,"Kapag kailangan ng shortest path sa lahat ng pairs."
Kruskal's Algorithm,"Kailan mo gagamitin ang Kruskal's algorithm?",,"Kapag kailangan ng minimum spanning tree."
Prim's Algorithm,"Kailan mo gagamitin ang Prim's algorithm?",,"Kapag kailangan ng minimum spanning tree."
Strongly Connected Components,"Kailan mo gagamitin ang strongly connected components?",,"Kapag kailangan ng graph analysis."
