Application,"Paano mag-output ng text sa PHP?",,"echo 'Hello, World!';"
Application,"Paano mag-embed ng PHP sa HTML?",,"<p><?php echo $name; ?></p>"
Application,"Paano mag-output gamit ang short echo tag?",,"<?= $name ?>"
Application,"Paano magdagdag ng single-line comment?",,"// Ito ay comment"
Application,"Paano magdagdag ng multi-line comment?",,"/* Multi-line comment */"
Application,"Paano mag-declare ng variable?",,"$name = 'Juan';"
Application,"Paano mag-declare ng integer variable?",,"$count = 10;"
Application,"Paano mag-declare ng array?",,"$items = [1, 2, 3];"
Application,"Paano i-enable ang strict types?",,"I-declare ang declare(strict_types=1); sa unang linya ng file."
Application,"Paano mag-define ng constant?",,"define('APP_NAME', 'MyApp'); o const APP_NAME = 'MyApp';"
Application,"Paano mag-execute ng code kung true ang condition?",,"if ($age >= 18) { echo 'Adult'; }"
Application,"Paano mag-loop ng 5 beses gamit ang for?",,"for ($i = 0; $i < 5; $i++) { echo $i; }"
Application,"Paano mag-iterate sa array gamit ang foreach?",,"foreach ($items as $item) { echo $item; }"
Application,"Paano mag-return ng value gamit ang match?",,"return match ($status) { 'a' => 'Active', default => 'Unknown' };"
Application,"Paano mag-loop habang true ang condition?",,"while ($count < 10) { $count++; }"
Application,"Paano mag-define ng function na may parameter?",,"function greet($name) { return \"Hi $name\"; }"
Application,"Paano mag-define ng arrow function?",,"$double = fn($n) => $n * 2;"
Application,"Paano mag-define ng function na may default parameter?",,"function greet($name = 'Guest') { return \"Hi $name\"; }"
Application,"Paano mag-call ng function gamit ang named arguments?",,"process(amount: 100, retries: 3);"
Application,"Paano mag-define ng variadic parameter?",,"function sum(...$numbers) { return array_sum($numbers); }"
Application,"Paano mag-handle ng exception?",,"try { riskyOperation(); } catch (Exception $e) { log($e->getMessage()); }"
Application,"Paano mag-throw ng exception?",,"throw new InvalidArgumentException('Invalid input');"
Application,"Paano mag-execute ng code kahit may exception?",,"Gamitin ang finally block pagkatapos ng catch."
Application,"Paano mag-handle ng ibang exception types?",,"Gumamit ng maraming catch blocks na may ibang exception types."
Application,"Paano i-enable ang lahat ng error reporting?",,"error_reporting(E_ALL);"
Application,"Paano mag-instantiate ng object?",,"$user = new User();"
Application,"Paano mag-define ng class na may property?",,"class User { public string $name; }"
Application,"Paano mag-access ng public property?",,"$user->name"
Application,"Paano mag-define ng constructor?",,"public function __construct(public string $name) {}"
Application,"Paano mag-call ng method sa object?",,"$user->greet();"
Application,"Paano mag-extend ng class?",,"class Admin extends User { }"
Application,"Paano mag-implement ng interface?",,"class Order implements Payable { }"
Application,"Paano mag-define ng abstract method?",,"abstract public function pay();"
Application,"Paano mag-call ng parent constructor?",,"parent::__construct($name);"
Application,"Paano i-prevent ang pag-extend ng class?",,"I-mark ang class bilang final."
Application,"Paano mag-define ng trait?",,"trait Notifiable { public function notify() {} }"
Application,"Paano gamitin ang trait sa class?",,"class User { use Notifiable; }"
Application,"Paano mag-define ng backed enum?",,"enum Status: string { case Active = 'active'; }"
Application,"Paano i-access ang enum case?",,"Status::Active"
Application,"Paano mag-define ng constant sa class?",,"const VERSION = '1.0';"
Application,"Paano mag-declare ng namespace?",,"namespace App\Models;"
Application,"Paano mag-import ng class?",,"use App\Models\User;"
Application,"Paano mag-alias ng imported class?",,"use App\Services\Mailer as EmailMailer;"
Application,"Paano i-reference ang class gamit ang buong path?",,"\App\Models\User::find($id);"
Application,"Paano mag-register ng PSR-4 autoload?",,"I-add ang \"App\\\\\": \"app/\" sa composer.json autoload.psr-4."
Application,"Paano mag-define ng __toString?",,"public function __toString() { return $this->name; }"
Application,"Paano mag-define ng __invoke?",,"public function __invoke($arg) { return $arg * 2; }"
Application,"Paano i-trigger ang __get?",,"I-access ang isang inaccessible o undefined property."
Application,"Paano mag-define ng __call?",,"public function __call($name, $args) { return $this->{$name}($args); }"
Application,"Paano mag-clone ng object?",,"$copy = clone $original;"
Application,"Paano gumawa ng bagong composer.json?",,"composer init"
Application,"Paano mag-install ng dependencies?",,"composer install"
Application,"Paano mag-add ng package?",,"composer require vendor/package"
Application,"Paano mag-add ng custom script?",,"I-add ang \"scripts\": {\"test\": \"phpunit\"} sa composer.json."
Application,"Paano mag-update ng isang package lang?",,"composer update vendor/package"
Application,"Paano maghanap ng package?",,"composer search package-name"
Application,"Paano mag-install ng package na may specific version?",,"composer require vendor/package:^2.0"
Application,"Paano mag-install ng dev dependency?",,"composer require --dev phpunit/phpunit"
Application,"Paano makita ang outdated packages?",,"composer outdated"
Application,"Paano mag-install gamit ang lockfile versions?",,"composer install --no-dev"
Application,"Paano mag-register ng PSR-4 autoload?",,"I-add ang \"psr-4\": {\"App\\\\\": \"app/\"} sa autoload section."
Application,"Paano mag-add ng files autoload?",,"I-add ang \"files\": [\"src/helpers.php\"] sa autoload section."
Application,"Paano mag-require ng autoloader?",,"require __DIR__ . '/vendor/autoload.php';"
Application,"Paano gumawa ng classmap autoload?",,"I-add ang \"classmap\": [\"src/\"] sa autoload section."
Application,"Paano mag-regenerate ng autoload files?",,"composer dump-autoload"
Application,"Paano mag-require ng package na may caret constraint?",,"composer require vendor/package:^1.2"
Application,"Paano mag-lock ng exact version?",,"composer require vendor/package:1.2.3"
Application,"Paano mag-allow ng wildcard versions?",,"I-set ang constraint na \"1.*\" sa composer.json."
Application,"Paano mag-install ng beta package?",,"I-add ang \"minimum-stability\": \"beta\" o gamitin ang @beta stability flag."
Application,"Paano mag-check ng package stability?",,"I-check ang version sa Packagist o composer show."
Application,"Paano mag-check ng coding standard violations?",,"phpcs --standard=PSR12 path/to/file.php"
Application,"Paano mag-autoload gamit ang PSR-4?",,"I-configure ang composer.json autoload.psr-4."
Application,"Paano mag-implement ng PSR-3 logger?",,"I-implement ang Psr\Log\LoggerInterface sa custom logger."
Application,"Paano gumamit ng PSR-7 request sa code?",,"I-type-hint ang Psr\Http\Message\RequestInterface."
Application,"Paano i-format ang code ayon sa PSR-12?",,"Gamitin ang php-cs-fixer na may PSR12 config."
Application,"Paano gumawa ng PDO connection?",,"$pdo = new PDO('mysql:host=localhost;dbname=app', $user, $pass);"
Application,"Paano mag-execute ng prepared statement?",,"$stmt = $pdo->prepare('SELECT * FROM users WHERE id = ?'); $stmt->execute([$id]);"
Application,"Paano mag-start ng transaction?",,"$pdo->beginTransaction();"
Application,"Paano i-commit ang transaction?",,"$pdo->commit();"
Application,"Paano i-rollback ang transaction?",,"$pdo->rollBack();"
Application,"Paano mag-execute ng SELECT query?",,"$rows = $pdo->query('SELECT * FROM users')->fetchAll();"
Application,"Paano mag-fetch ng isang row bilang array?",,"$stmt->fetch(PDO::FETCH_ASSOC);"
Application,"Paano mag-fetch ng lahat ng rows?",,"$stmt->fetchAll();"
Application,"Paano mag-handle ng PDO error?",,"I-wrap ang code sa try-catch at i-catch ang PDOException."
Application,"Paano makuha ang id ng inserted row?",,"$pdo->lastInsertId();"
Application,"Paano gumawa ng migration sa Laravel?",,"php artisan make:migration create_posts_table"
Application,"Paano mag-run ng migrations?",,"php artisan migrate"
Application,"Paano i-rollback ang mga migrations?",,"php artisan migrate:rollback"
Application,"Paano mag-seed ang database?",,"php artisan db:seed"
Application,"Paano mag-run ng fresh migrations na may seeders?",,"php artisan migrate:fresh --seed"
Application,"Paano mag-define ng hasMany relationship sa Eloquent?",,"return $this->hasMany(Post::class);"
Application,"Paano mag-query ng lahat ng users?",,"User::all();"
Application,"Paano mag-find ng user sa pamamagitan ng id?",,"User::find($id);"
Application,"Paano mag-eager load ng relationship?",,"Post::with('author')->get();"
Application,"Paano mag-create ng record gamit ang Eloquent?",,"User::create(['name' => 'Juan']);"
Application,"Paano i-optimize ang query?",,"Magdagdag ng index sa filtered columns at iwasan ang SELECT *."
Application,"Paano maiwasan ang N+1 problem?",,"Gamitin ang eager loading gamit ang with()."
Application,"Paano makita ang query plan?",,"I-run ang EXPLAIN sa query."
Application,"Paano i-profile ang queries?",,"Gamitin ang query log o profiling tools."
Application,"Paano mag-cache ng query result?",,"Cache::remember('posts', 600, fn() => Post::all());"
Application,"Paano ma-access ang GET parameter?",,"$_GET['id']"
Application,"Paano mag-redirect sa ibang page?",,"header('Location: /dashboard'); exit;"
Application,"Paano ma-access ang form POST data?",,"$_POST['email']"
Application,"Paano mag-set ng response header?",,"header('Content-Type: application/json');"
Application,"Paano makuha ang request method?",,"$_SERVER['REQUEST_METHOD']"
Application,"Paano i-validate ang email?",,"filter_var($email, FILTER_VALIDATE_EMAIL)"
Application,"Paano mag-sanitize ng string input?",,"htmlspecialchars($_POST['name'], ENT_QUOTES);"
Application,"Paano i-check kung may laman ang field?",,"if (empty($_POST['email'])) { $errors[] = 'Email is required'; }"
Application,"Paano i-trim ang input?",,"trim($_POST['username']);"
Application,"Paano mag-display ng validation error?",,"echo $errors['email'] ?? '';"
Application,"Paano mag-start ng session?",,"session_start();"
Application,"Paano mag-imbak ng value sa session?",,"$_SESSION['user_id'] = $userId;"
Application,"Paano mag-set ng cookie?",,"setcookie('theme', 'dark', time() + 3600);"
Application,"Paano i-destroy ang session?",,"session_destroy();"
Application,"Paano protektahan ang session?",,"I-call ang session_regenerate_id() pagkatapos mag-login."
Application,"Paano mag-define ng simple route?",,"$router->get('/home', fn() => 'Home page');"
Application,"Paano mag-define ng route na may parameter?",,"$router->get('/user/{id}', fn($id) => \"User $id\");"
Application,"Paano mag-check ng request method?",,"$_SERVER['REQUEST_METHOD'] === 'POST'"
Application,"Paano mag-return ng 404?",,"http_response_code(404);"
Application,"Paano mag-define ng POST route?",,"$router->post('/submit', [FormController::class, 'store']);"
Application,"Paano mag-log ng error?",,"error_log('Something failed');"
Application,"Paano mag-register ng custom error handler?",,"set_error_handler(function ($severity, $message) { log($message); });"
Application,"Paano mag-register ng exception handler?",,"set_exception_handler(fn($e) => log($e->getMessage()));"
Application,"Paano mag-hide ng errors sa production?",,"I-set ang display_errors=Off at log_errors=On sa php.ini."
Application,"Paano mag-customize ang 500 error page?",,"Gumawa ng error handler na nagre-render ng custom template."
Application,"Paano mag-install ng Laravel?",,"composer create-project laravel/laravel app-name"
Application,"Paano mag-start ng development server?",,"php artisan serve"
Application,"Paano i-generate ang application key?",,"php artisan key:generate"
Application,"Paano i-list ang mga artisan commands?",,"php artisan list"
Application,"Paano i-configure ang database?",,"I-set ang DB_DATABASE, DB_USERNAME, at DB_PASSWORD sa .env."
Application,"Paano mag-register ng route?",,"Route::get('/home', [HomeController::class, 'index']);"
Application,"Paano mag-group ng routes na may prefix?",,"Route::prefix('admin')->group(function () { });"
Application,"Paano mag-register ng resource routes?",,"Route::resource('posts', PostController::class);"
Application,"Paano mag-set ng named route?",,"Route::get('/profile', ...)->name('profile');"
Application,"Paano gumawa ng controller?",,"php artisan make:controller PostController"
Application,"Paano mag-echo ng value sa Blade?",,"{{ $user->name }}"
Application,"Paano mag-extend ng layout?",,"@extends('layouts.app')"
Application,"Paano mag-render ng component?",,"<x-alert message=\"Error\" />"
Application,"Paano mag-iterate sa Blade?",,"@foreach ($items as $item) {{ $item }} @endforeach"
Application,"Paano mag-display ng section?",,"@yield('content')"
Application,"Paano gumawa ng model?",,"php artisan make:model Post"
Application,"Paano mag-define ng hasMany relationship?",,"return $this->hasMany(Post::class);"
Application,"Paano mag-define ng scope?",,"public function scopeActive($query) { return $query->where('active', 1); }"
Application,"Paano mag-cast ng attribute?",,"protected $casts = ['is_admin' => 'boolean'];"
Application,"Paano gumawa ng middleware?",,"php artisan make:middleware EnsureAgeIsValid"
Application,"Paano mag-apply ng middleware sa route?",,"Route::get('/admin', ...)->middleware('auth');"
Application,"Paano mag-define ng gate?",,"Gate::define('update-post', fn(User $user, Post $post) => $user->id === $post->user_id);"
Application,"Paano mag-dispatch ng job sa queue?",,"ProcessPodcast::dispatch($podcast);"
