React.memo,"Paano mo i-optimize ang component rendering?",,"Gamitin ang React.memo."
Concurrent Features,"Paano mo i-improve ang UX gamit ang mga bagong features?",,"Gamitin ang concurrent features."
Server Components,"Paano mo i-render ang components sa server?",,"Gamitin ang server components."
Streaming SSR,"Paano mo i-render ang server-side nang hindi nagwa-wait?",,"Gamitin ang streaming SSR."
Islands Architecture,"Paano mo i-separate ang interactive at static parts?",,"Gamitin ang islands architecture."
Micro-Frontends,"Paano mo i-split ang frontend sa smaller pieces?",,"Gamitin ang micro-frontends."
React.memo,"Ano ang tawag sa pag-memoize ng component para sa optimization?",,"React.memo."
Concurrent Features,"Ano ang tawag sa mga bagong features para sa better UX?",,"Concurrent features."
Server Components,"Ano ang tawag sa components na tumatakbo sa server?",,"Server components."
Streaming SSR,"Ano ang tawag sa server-side rendering na hindi nagwa-wait?",,"Streaming SSR."
Islands Architecture,"Ano ang tawag sa paghihiwalay ng interactive at static parts?",,"Islands architecture."
Micro-Frontends,"Ano ang tawag sa pag-split ng frontend sa smaller pieces?",,"Micro-frontends."
