Transpilation,"Ang {{c1::Transpilation}} ay ang pag-convert ng modern JS sa older version.",,Transpilation
Bundling,"Ang {{c1::Bundling}} ay ang pag-combine ng multiple files sa isang bundle.",,Bundling
Lazy Loading,"Ang {{c1::Lazy Loading}} ay ang pag-load ng resources kapag kailangan lang.",,Lazy Loading
Polyfills,"Ang mga {{c1::Polyfills}} ay ang pagdagdag ng features sa older browsers.",,Polyfills
Source Maps,"Ang mga {{c1::Source Maps}} ay ang pag-trace ng minified code sa original.",,Source Maps
Transpilation,"Ang {{c1::Transpilation}} ay pag-convert ng modern JS sa older version.",,Transpilation
Bundling,"Ang {{c1::Bundling}} ay pag-combine ng multiple files sa isang bundle.",,Bundling
Lazy Loading,"Ang {{c1::Lazy Loading}} ay pag-load ng resources kapag kailangan lang.",,Lazy Loading
Polyfills,"Ang mga {{c1::Polyfills}} ay pagdagdag ng features sa older browsers.",,Polyfills
Source Maps,"Ang mga {{c1::Source Maps}} ay pag-trace ng minified code sa original.",,Source Maps
Transpilation,"Ang {{c1::Transpilation}} ay para sa browser compatibility.",,Transpilation
Bundling,"Ang {{c1::Bundling}} ay para sa mas kaunting HTTP requests.",,Bundling
Lazy Loading,"Ang {{c1::Lazy Loading}} ay para sa mas mabilis na initial load.",,Lazy Loading
Polyfills,"Ang mga {{c1::Polyfills}} ay para sa older browser support.",,Polyfills
Source Maps,"Ang mga {{c1::Source Maps}} ay para sa debugging.",,Source Maps
Transpilation,"Paano mo i-convert ang modern JS sa older version?",,"Gamitin ang transpilation."
Bundling,"Paano mo i-combine ang multiple files?",,"Gamitin ang bundling."
Lazy Loading,"Paano mo i-load ang resources kapag kailangan lang?",,"Gamitin ang lazy loading."
Polyfills,"Paano mo i-add ang features sa older browsers?",,"Gamitin ang polyfills."
Source Maps,"Paano mo i-trace ang minified code sa original?",,"Gamitin ang source maps."
Transpilation,"Ano ang tawag sa pag-convert ng modern JS sa older version?",,"Transpilation."
Bundling,"Ano ang tawag sa pag-combine ng multiple files?",,"Bundling."
Lazy Loading,"Ano ang tawag sa pag-load ng resources kapag kailangan lang?",,"Lazy loading."
Polyfills,"Ano ang tawag sa pagdagdag ng features sa older browsers?",,"Polyfills."
Source Maps,"Ano ang tawag sa pag-trace ng minified code sa original?",,"Source maps."
