Generators,"Ang mga {{c1::Generators}} ay ang memory-efficient na iteration.",,Generators
Fibers,"Ang mga {{c1::Fibers}} ay ang concurrent na execution sa PHP.",,Fibers
Reflection API,"Ang {{c1::Reflection API}} ay ang pag-analyze ng classes at methods runtime.",,Reflection API
Generators,"Ang mga {{c1::Generators}} ay memory-efficient na iteration.",,Generators
Fibers,"Ang mga {{c1::Fibers}} ay concurrent na execution sa PHP.",,Fibers
Reflection API,"Ang {{c1::Reflection API}} ay pag-analyze ng classes at methods runtime.",,Reflection API
Generators,"Ang mga {{c1::Generators}} ay para sa memory-efficient na iteration.",,Generators
Fibers,"Ang mga {{c1::Fibers}} ay para sa concurrent na execution.",,Fibers
Reflection API,"Ang {{c1::Reflection API}} ay para sa runtime na analysis.",,Reflection API
Generators,"Paano mo gagawa ng memory-efficient na iteration?",,"Gamitin ang generators."
Fibers,"Paano mo gagawa ng concurrent na execution?",,"Gamitin ang fibers."
Reflection API,"Paano mo i-analyze ang classes at methods runtime?",,"Gamitin ang reflection API."
Generators,"Ano ang tawag sa memory-efficient na iteration?",,"Generators."
Fibers,"Ano ang tawag sa concurrent na execution sa PHP?",,"Fibers."
Reflection API,"Ano ang tawag sa pag-analyze ng classes at methods runtime?",,"Reflection API."
Generators,"Ano ang benefit ng generators?",,"Mas kaunti ang memory usage."
Fibers,"Ano ang benefit ng fibers?",,"Concurrent na execution."
Reflection API,"Ano ang benefit ng reflection API?",,"Runtime na analysis."
