Application,"Paano ilapat ang Single Responsibility Principle sa isang class?",,Hatiin ang class sa mga smaller classes na may iisang responsibility lang
Application,"Paano mai-apply ang Open-Closed Principle?",,Gumamit ng interfaces at abstractions para mag-extend nang hindi binabago ang lumang code
Application,"Paano i-verify ang Liskov Substitution Principle?",,Siguraduhing lahat ng subclass ay gumagana nang tama kapag pinalitan ang parent class
Application,"Paano i-implement ang Interface Segregation Principle?",,Hatiin ang malalaking interfaces sa mga mas maliit na client-specific na interfaces
Application,"Paano ilapat ang Dependency Inversion Principle?",,Gumamit ng dependency injection at mag-inject ng abstractions hindi ng concrete implementations
Application,"Paano mai-apply ang DRY sa isang codebase?",,I-extract ang duplicate code sa mga functions o utilities na magagamit muli
Application,"Paano masusunod ang KISS sa coding?",,Piliin ang pinakasimpleng solusyon na gumagana at iwasan ang over-engineering
Application,"Paano maiwasan ang YAGNI violation?",,Gumawa lang ng features na kasalukuyang kailangan at huwag mag-speculate sa future
Application,"Paano malalaman kung kelangan mag-refactor para sa DRY?",,Kapag may dalawang magkaparehong code sa iba't ibang lugar na nag-iiba lang sa ilang detalye
Application,"Paano ipaliwanag ang trade-off ng KISS vs perfect code?",,Ang perfect code ay madalas mas kumplikado — mas mainam ang good enough na simpleng solusyon
Application,"Paano pumili sa pagitan ng composition at inheritance?",,Gamitin ang inheritance para sa 'is-a' relationship at composition para sa 'has-a' relationship
Application,"Paano i-refactor ang inheritance hierarchies sa composition?",,I-inject ang dependencies at i-delegate ang behavior sa mga composed objects
Application,"Paano malalaman kapag overusing ang inheritance?",,Kapag maraming levels ng hierarchy at maraming overridden methods
Application,"Paano i-apply ang composition sa isang existing class?",,Gumamit ng dependency injection at i-wrap ang mga objects na kailangan
Application,"Paano maiwasan ang tight coupling ng inheritance?",,Gumamit ng interfaces at i-compose ang behavior sa halip na i-inherit
Application,"Paano i-apply ang abstraction sa isang class hierarchy?",,Gumamit ng abstract classes at interfaces para magbigay ng simplified interface
Application,"Paano i-implement ang encapsulation sa JavaScript?",,Gamitin ang closures, classes, o private fields para i-hide ang internal state
Application,"Paano i-execute ang polymorphism sa runtime?",,I-override ang methods sa subclasses at i-invoke ang mga ito sa pamamagitan ng base class reference
Application,"Paano malalaman kung tama ang abstraction level?",,Ang abstraction ay dapat magbigay ng sapat na detalye para sa use case nang hindi nagpapakita ng internal
Application,"Paano maiwasan ang encapsulation leak?",,I-minimize ang public API at i-validate ang inputs sa bawat public method
Application,"Paano i-implement ang Singleton sa JavaScript?",,Gamitin ang closures, IIFE, o ES6 classes na may static getInstance method
Application,"Paano maiwasan ang Singleton anti-pattern?",,I-depend ang mga classes sa halip na gumamit ng global state — gumamit ng dependency injection
Application,"Paano i-test ang isang Singleton class?",,I-reset ang singleton instance sa bawat test at i-mock ang dependencies nito
Application,"Paano pumili sa lazy at eager initialization?",,Gamitin ang lazy para sa mahal na resources at eager para sa madaling i-initialize
Application,"Paano i-ensure ang thread safety sa Singleton?",,Gamitin ang double-checked locking o language-specific na atomic operations
Application,"Paano i-implement ang Factory Method sa JavaScript?",,Gumamit ng switch statement sa loob ng factory function o gumamit ng object literal map
Application,"Paano pumili sa Factory Method at Abstract Factory?",,Gamitin ang Factory Method para sa isang product at Abstract Factory para sa mga related products
Application,"Paano magdagdag ng bagong product type sa Factory Method?",,Lumikha ng bagong subclass ng creator na nag-i-implement ng factory method
Application,"Paano maiwasan ang malaking switch statements sa factory?",,Gamitin ang object map o registry pattern para i-map ang types sa classes
Application,"Paano i-apply ang Factory Method sa isang existing na switch statement?",,I-extract ang bawat kaso sa sarili nitong class at gumamit ng factory method para mag-create
Application,"Paano i-distinguish ang Factory Method at Abstract Factory?",,Ang Factory Method ay para sa isang product, Abstract Factory ay para sa mga related na products
Application,"Paano mag-implement ng UI theme sa Abstract Factory?",,Lumikha ng interface para sa UI components at mga concrete factories para sa bawat theme
Application,"Paano magdagdag ng bagong product family?",,Lumikha ng bagong concrete factory na nag-i-implement ng abstract factory interface
Application,"Paano i-apply ang Abstract Factory sa database access?",,Gumamit ng factory para gumawa ng mga connection, command, at reader objects
Application,"Paano malalaman kung kailangan ang Abstract Factory?",,Kapag maraming related objects na dapat maging consistent ang pagkakagawa
Application,"Paano i-implement ang Builder pattern sa JavaScript?",,Gumamit ng class na may mga setter methods na nagbabalik ng this para sa method chaining
Application,"Paano pumili sa Builder at Factory?",,Gamitin ang Builder para sa kumplikadong step-by-step na construction at Factory para sa simpleng creation
Application,"Paano i-apply ang Builder para sa HTTP request?",,Lumikha ng builder na may mga methods para sa URL, headers, body, at method
Application,"Paano gumamit ng director sa Builder?",,Lumikha ng director class na nag-a-arrange ng construction steps at nagbibigay ng built objects
Application,"Paano i-validate sa Builder bago i-build?",,I-add ang validation sa loob ng build() method bago ibalik ang final object
Application,"Paano i-implement ang shallow copy sa JavaScript?",,Gamitin ang Object.assign() o spread operator para i-copy ang properties
Application,"Paano gumawa ng deep copy sa JavaScript?",,Gamitin ang structuredClone() o JSON.parse(JSON.stringify()) para i-copy ang lahat ng nested objects
Application,"Paano i-apply ang Prototype pattern sa existing na code?",,Lumikha ng prototype registry at i-clone ang mga objects kaysa sa bagong instantiation
Application,"Paano maiwasan ang prototype pollution?",,I-validate ang inputs at i-freeze ang prototype objects para iwasan ang modification
Application,"Paano pumili sa shallow at deep copy?",,Gamitin ang shallow copy para sa flat objects at deep copy para sa nested objects
Application,"Paano i-implement ang Object Pool sa JavaScript?",,Gumamit ng array bilang pool at i-manage ang available at in-use objects
Application,"Paano mag-set ng tamang pool size?",,I-balance ang memory usage at performance — gamitin ang profiling para malaman ang optimal size
