Database Design,"Paano mo gagawa ng efficient na table structure?",,"Gamitin ang database design."
Normalization,"Paano mo babawasan ang data duplication?",,"Gamitin ang normalization."
Indexing,"Paano mo pabilisin ang database queries?",,"Gamitin ang indexing."
Transactions,"Paano mo i-group ang related database operations?",,"Gamitin ang transactions."
Caching,"Paano mo i-cache ang madalas na data?",,"Gamitin ang caching."
API Design,"Paano mo gagawa ng RESTful API?",,"Gamitin ang API design."
Error Handling Strategy,"Paano mo i-setup ang error handling system?",,"Gamitin ang error handling strategy."
Database Design,"Ano ang tawag sa paggawa ng efficient na table structure?",,"Database design."
Normalization,"Ano ang tawag sa pagbawas ng data duplication?",,"Normalization."
Indexing,"Ano ang tawag sa pagpapabilis ng database queries?",,"Indexing."
Transactions,"Ano ang tawag sa pag-group ng related database operations?",,"Transactions."
Caching,"Ano ang tawag sa pag-cache ng madalas na data?",,"Caching."
API Design,"Ano ang tawag sa paggawa ng RESTful API?",,"API design."
Error Handling Strategy,"Ano ang tawag sa pag-setup ng error handling system?",,"Error handling strategy."
