Type,Front,Hint,Back
Cloze,"Ang {{c1::Abstract Factory}} ay isang creational pattern na nagbibigay ng interface para sa paggawa ng mga families ng related objects.",,Abstract Factory
Cloze,"Ang {{c1::Abstract Factory}} ay nag-i-isolate ang creation logic mula sa具体的 na mga uri ng objects.",,Abstract Factory
Cloze,"Ang {{c1::product family}} ay isang set ng mga related objects na ginawa ng iisang factory.",,product family
Cloze,"Ang {{c1::Abstract Factory}} ay nagbibigay ng consistency sa mga products na ginagamit sa sistema.",,Abstract Factory
Cloze,"Ang {{c1::concrete factory}} ay ang implementor na gumagawa ng mga specific na products.",,concrete factory
Cloze,"Ang {{c1::Abstract Factory}} ay nagbibigay ng loose coupling sa pagitan ng creation at usage.",,Abstract Factory
Cloze,"Ang {{c1::Abstract Factory}} ay madalas gamitin para sa UI themes, database drivers, at platform-specific na code.",,Abstract Factory
Cloze,"Ang {{c1::Abstract Factory}} ay nagpapalit ng multiple factory methods sa iisang interface.",,Abstract Factory
Cloze,"Ang {{c1::Abstract Factory}} ay nagbibigay ng single responsibility para sa creation ng buong product family.",,Abstract Factory
Cloze,"Ang {{c1::Abstract Factory}} ay nagbibigay ng scalability sa pamamagitan ng pagdagdag ng bagong factories.",,Abstract Factory
