Query Caching,"Paano mo pabilisin ang mga queries?",,"Gamitin ang query caching."
Compression,"Paano mo liitan ang data storage?",,"Gamitin ang compression."
Archiving,"Paano mo ililipat ang lumang data?",,"Gamitin ang archiving."
Vacuum & Maintenance,"Paano mo lilinisin ang database?",,"Gamitin ang vacuum at maintenance."
Statistics Update,"Paano mo i-update ang optimizer data?",,"Gamitin ang statistics update."
Query Caching,"Ano ang tawag sa pag-cache ng query results?",,"Query caching."
Compression,"Ano ang tawag sa pagliit ng data storage size?",,"Compression."
Archiving,"Ano ang tawag sa paglipat ng lumang data?",,"Archiving."
Vacuum & Maintenance,"Ano ang tawag sa regular na paglilinis ng database?",,"Vacuum at maintenance."
Statistics Update,"Ano ang tawag sa pag-update ng query optimizer data?",,"Statistics update."
