NP-Completeness,"Ang {{c1::NP-Completeness}} ay ang class ng problems na hindi polynomial-time solvable.",,NP-Completeness
P vs NP Problem,"Ang {{c1::P vs NP Problem}} ay ang unsolved problem sa computer science.",,P vs NP Problem
Approximation Algorithms,"Ang mga {{c1::Approximation Algorithms}} ay ang algorithms na nagbibigay ng near-optimal na solutions.",,Approximation Algorithms
Randomized Algorithms,"Ang mga {{c1::Randomized Algorithms}} ay ang algorithms na gumagamit ng randomness.",,Randomized Algorithms
Online Algorithms,"Ang mga {{c1::Online Algorithms}} ay ang algorithms na nagpo-process ng input incrementally.",,Online Algorithms
Offline Algorithms,"Ang mga {{c1::Offline Algorithms}} ay ang algorithms na kailangan ang buong input.",,Offline Algorithms
Competitive Analysis,"Ang {{c1::Competitive Analysis}} ay ang pag-compare ng online at offline algorithms.",,Competitive Analysis
Amortized Complexity,"Ang {{c1::Amortized Complexity}} ay ang average complexity over sequence of operations.",,Amortized Complexity
Potential Method,"Ang {{c1::Potential Method}} ay ang technique para sa amortized analysis.",,Potential Method
Yao's Principle,"Ang {{c1::Yao's Principle}} ay ang lower bound technique para sa randomized algorithms.",,Yao's Principle
NP-Completeness,"Ang {{c1::NP-Completeness}} ay class ng problems na hindi polynomial-time solvable.",,NP-Completeness
P vs NP Problem,"Ang {{c1::P vs NP Problem}} ay unsolved problem sa computer science.",,P vs NP Problem
Approximation Algorithms,"Ang mga {{c1::Approximation Algorithms}} ay algorithms na nagbibigay ng near-optimal na solutions.",,Approximation Algorithms
Randomized Algorithms,"Ang mga {{c1::Randomized Algorithms}} ay algorithms na gumagamit ng randomness.",,Randomized Algorithms
Online Algorithms,"Ang mga {{c1::Online Algorithms}} ay algorithms na nagpo-process ng input incrementally.",,Online Algorithms
Offline Algorithms,"Ang mga {{c1::Offline Algorithms}} ay algorithms na kailangan ang buong input.",,Offline Algorithms
Competitive Analysis,"Ang {{c1::Competitive Analysis}} ay pag-compare ng online at offline algorithms.",,Competitive Analysis
Amortized Complexity,"Ang {{c1::Amortized Complexity}} ay average complexity over sequence of operations.",,Amortized Complexity
Potential Method,"Ang {{c1::Potential Method}} ay technique para sa amortized analysis.",,Potential Method
Yao's Principle,"Ang {{c1::Yao's Principle}} ay lower bound technique para sa randomized algorithms.",,Yao's Principle
NP-Completeness,"Ang {{c1::NP-Completeness}} ay para sa problem classification.",,NP-Completeness
P vs NP Problem,"Ang {{c1::P vs NP Problem}} ay para sa theoretical computer science.",,P vs NP Problem
Approximation Algorithms,"Ang mga {{c1::Approximation Algorithms}} ay para sa NP-hard na problems.",,Approximation Algorithms
Randomized Algorithms,"Ang mga {{c1::Randomized Algorithms}} ay para sa probabilistic na solutions.",,Randomized Algorithms
Online Algorithms,"Ang mga {{c1::Online Algorithms}} ay para sa incremental na processing.",,Online Algorithms
Offline Algorithms,"Ang mga {{c1::Offline Algorithms}} ay para sa batch na processing.",,Offline Algorithms
Competitive Analysis,"Ang {{c1::Competitive Analysis}} ay para sa online algorithm analysis.",,Competitive Analysis
Amortized Complexity,"Ang {{c1::Amortized Complexity}} ay para sa sequence analysis.",,Amortized Complexity
Potential Method,"Ang {{c1::Potential Method}} ay para sa amortized analysis technique.",,Potential Method
Yao's Principle,"Ang {{c1::Yao's Principle}} ay para sa randomized algorithm analysis.",,Yao's Principle
NP-Completeness,"Paano mo malalaman kung NP-complete ang problem?",,"Gamitin ang polynomial-time reduction."
P vs NP Problem,"Ano ang tawag sa unsolved problem sa computer science?",,"P vs NP problem."
Approximation Algorithms,"Paano mo i-solve ang NP-hard na problems?",,"Gamitin ang approximation algorithms."
Randomized Algorithms,"Paano mo gagamitin ang randomness sa algorithm?",,"Gamitin ang randomized algorithms."
Online Algorithms,"Paano mo i-process ang input nang hindi alam ang buong input?",,"Gamitin ang online algorithms."
Offline Algorithms,"Paano mo i-process ang buong input?",,"Gamitin ang offline algorithms."
Competitive Analysis,"Paano mo i-compare ang online at offline algorithms?",,"Gamitin ang competitive analysis."
Amortized Complexity,"Paano mo i-analyze ang average complexity over operations?",,"Gamitin ang amortized complexity."
Potential Method,"Paano mo i-apply ang potential method?",,"Gamitin ang potential function."
Yao's Principle,"Paano mo i-apply ang Yao's principle?",,"Gamitin ang minimax theorem."
NP-Completeness,"Ano ang tawag sa class ng problems na hindi polynomial-time solvable?",,"NP-completeness."
P vs NP Problem,"Ano ang tawag sa unsolved problem sa computer science?",,"P vs NP problem."
Approximation Algorithms,"Ano ang tawag sa algorithms na nagbibigay ng near-optimal na solutions?",,"Approximation algorithms."
Randomized Algorithms,"Ano ang tawag sa algorithms na gumagamit ng randomness?",,"Randomized algorithms."
Online Algorithms,"Ano ang tawag sa algorithms na nagpo-process ng input incrementally?",,"Online algorithms."
Offline Algorithms,"Ano ang tawag sa algorithms na kailangan ang buong input?",,"Offline algorithms."
Competitive Analysis,"Ano ang tawag sa pag-compare ng online at offline algorithms?",,"Competitive analysis."
Amortized Complexity,"Ano ang tawag sa average complexity over sequence of operations?",,"Amortized complexity."
Potential Method,"Ano ang tawag sa technique para sa amortized analysis?",,"Potential method."
Yao's Principle,"Ano ang tawag sa lower bound technique para sa randomized algorithms?",,"Yao's principle."
