Classes & Objects,"Paano mo gagamitin ang OOP sa PHP?",,"Gamitin ang classes at objects."
Properties & Methods,"Paano mo i-define ang data at behavior ng class?",,"Gamitin ang properties at methods."
Inheritance,"Paano mo i-inherit ang properties at methods?",,"Gamitin ang inheritance."
Interfaces,"Paano mo i-implement ang contract ng methods?",,"Gamitin ang interfaces."
Abstract Classes,"Paano mo gagawa ng partial na implementation?",,"Gamitin ang abstract classes."
Traits,"Paano mo gagawa ng reusable na code?",,"Gamitin ang traits."
Namespaces,"Paano mo i-organize ang classes sa logical groups?",,"Gamitin ang namespaces."
Autoloading,"Paano mo i-load ang classes kapag kailangan?",,"Gamitin ang autoloading."
Error Handling,"Paano mo i-handle ang errors sa PHP?",,"Gamitin ang try-catch."
Classes & Objects,"Ano ang tawag sa blueprint at instance ng entity?",,"Classes at objects."
Properties & Methods,"Ano ang tawag sa data at behavior ng class?",,"Properties at methods."
Inheritance,"Ano ang tawag sa pagmana ng properties at methods sa parent class?",,"Inheritance."
Interfaces,"Ano ang tawag sa kontrata ng methods na ipinapatupad ng class?",,"Interfaces."
Abstract Classes,"Ano ang tawag sa partial na implementation na hindi pwedeng i-instantiate?",,"Abstract classes."
Traits,"Ano ang tawag sa reusable na code na hindi gumagamit ng inheritance?",,"Traits."
Namespaces,"Ano ang tawag sa pag-organize ng classes sa logical groups?",,"Namespaces."
Autoloading,"Ano ang tawag sa awtomatikong pag-load ng classes kapag kailangan?",,"Autoloading."
Error Handling,"Ano ang tawag sa paghuli at paghawak ng errors gamit ang try-catch?",,"Error handling."
