LRU Cache,"Paano mo i-implement ang LRU cache?",,"Gamitin ang doubly linked list at hash map."
FIFO Cache,"Paano mo i-implement ang FIFO cache?",,"Gamitin ang queue."
Locality of Reference,"Paano mo i-optimize ang cache gamit ang locality?",,"I-group ang related na data."
Spatial Locality,"Paano mo i-exploit ang spatial locality?",,"I-access ang sequential na memory."
Temporal Locality,"Paano mo i-exploit ang temporal locality?",,"I-reuse ang recently accessed data."
Memory Leaks,"Paano mo maiiwasan ang memory leaks?",,"I-properly dispose ang unused objects."
LRU Cache,"Ano ang tawag sa cache na nagre-remove ng least recently used?",,"LRU cache."
FIFO Cache,"Ano ang tawag sa cache na nagre-remove ng oldest?",,"FIFO cache."
Locality of Reference,"Ano ang tawag sa pattern ng memory access?",,"Locality of reference."
Spatial Locality,"Ano ang tawag sa pag-access ng malalapit na memory locations?",,"Spatial locality."
Temporal Locality,"Ano ang tawag sa pag-access ng same memory location?",,"Temporal locality."
Memory Leaks,"Ano ang tawag sa hindi na-garbage collect na memory?",,"Memory leaks."
