Snowflake Schema,"Paano mo i-normalize ang star schema?",,"Gamitin ang snowflake schema."
Data Warehouse,"Saan mo i-store ang historical data?",,"Sa data warehouse."
OLTP vs OLAP,"Ano ang pagkakaiba ng OLTP at OLAP?",,"OLTP ay para sa transactions, OLAP ay para sa analysis."
Sharding,"Paano mo hahatiin ang database sa maraming servers?",,"Gamitin ang sharding."
Replication,"Paano mo i-copy ang data sa maraming instances?",,"Gamitin ang replication."
Master-Slave Architecture,"Paano mo setup ang primary at backup database?",,"Gamitin ang master-slave architecture."
Database Partitioning,"Paano mo hahatiin ang large tables?",,"Gamitin ang database partitioning."
Snowflake Schema,"Ano ang tawag sa normalized na star schema?",,"Snowflake schema."
Data Warehouse,"Ano ang tawag sa centralized na repository ng data?",,"Data warehouse."
OLTP vs OLAP,"Ano ang tawag sa pagkakaiba ng transactional at analytical?",,"OLTP vs OLAP."
Sharding,"Ano ang tawag sa paghahati ng database sa maraming servers?",,"Sharding."
Replication,"Ano ang tawag sa pag-copy ng data sa maraming instances?",,"Replication."
Master-Slave Architecture,"Ano ang tawag sa primary at backup setup?",,"Master-slave architecture."
Database Partitioning,"Ano ang tawag sa paghahati ng large tables?",,"Database partitioning."
Snowflake Schema,"Ano ang benefit ng snowflake schema?",,"Mas normalized at efficient na storage."
Data Warehouse,"Ano ang benefit ng data warehouse?",,"Centralized na historical data for analysis."
OLTP vs OLAP,"Bakit kailangang paghiwalayin ang OLTP at OLAP?",,"Para sa performance at efficiency."
Sharding,"Ano ang benefit ng sharding?",,"Horizontal na scalability."
Replication,"Ano ang benefit ng replication?",,"Data redundancy at high availability."
Master-Slave Architecture,"Ano ang benefit ng master-slave architecture?",,"Backup at failover capability."
Database Partitioning,"Ano ang benefit ng database partitioning?",,"Mas mabilis na queries at easier maintenance."
Snowflake Schema,"Kailan mo gagamitin ang snowflake schema?",,"Kapag kailangan ng normalized na data warehouse."
Data Warehouse,"Kailan mo gagamitin ang data warehouse?",,"Kapag may malaking historical data for analysis."
OLTP vs OLAP,"Kailan mo gagamitin ang OLTP?",,"Kapag may maraming transactions."
Sharding,"Kailan mo gagamitin ang sharding?",,"Kapag hindi na kaya ng isang server ang data."
Replication,"Kailan mo gagamitin ang replication?",,"Kapag kailangan ng data redundancy."
Master-Slave Architecture,"Kailan mo gagamitin ang master-slave architecture?",,"Kapag kailangan ng backup at failover."
Database Partitioning,"Kailan mo gagamitin ang database partitioning?",,"Kapag malaki na ang table at mabagal na ang queries."
Snowflake Schema,"Ano ang example ng snowflake schema?",,"Products table na naka-normalize sa Categories at Subcategories."
Data Warehouse,"Ano ang example ng data warehouse?",,"Centralized na database ng lahat ng sales data."
OLTP vs OLAP,"Ano ang example ng OLTP?",,"E-commerce order processing."
Sharding,"Ano ang example ng sharding?",,"Paghahati ng user data batay sa geographic location."
Replication,"Ano ang example ng replication?",,"Master database na may dalawang slave copies."
Master-Slave Architecture,"Ano ang example ng master-slave architecture?",,"Master na nag-write at slaves na nag-read."
Database Partitioning,"Ano ang example ng database partitioning?",,"Paghahati ng orders table batay sa year."
