Debouncing,"Ang {{c1::Debouncing}} ay ang pag-delay ng function execution.",,Debouncing
Throttling,"Ang {{c1::Throttling}} ay ang pag-limit ng function execution frequency.",,Throttling
Image Optimization,"Ang {{c1::Image Optimization}} ay ang pag-combine at lazy load ng images.",,Image Optimization
Prefetching,"Ang {{c1::Prefetching}} ay ang pag-load ng resources ahead of time.",,Prefetching
Service Worker,"Ang {{c1::Service Worker}} ay ang caching ng assets para sa offline support.",,Service Worker
Performance Profiling,"Ang {{c1::Performance Profiling}} ay ang pag-analyze ng bottlenecks.",,Performance Profiling
Debouncing,"Ang {{c1::Debouncing}} ay pag-delay ng function execution.",,Debouncing
Throttling,"Ang {{c1::Throttling}} ay pag-limit ng function execution frequency.",,Throttling
Image Optimization,"Ang {{c1::Image Optimization}} ay pag-combine at lazy load ng images.",,Image Optimization
Prefetching,"Ang {{c1::Prefetching}} ay pag-load ng resources ahead of time.",,Prefetching
Service Worker,"Ang {{c1::Service Worker}} ay caching ng assets para sa offline support.",,Service Worker
Performance Profiling,"Ang {{c1::Performance Profiling}} ay pag-analyze ng bottlenecks.",,Performance Profiling
Debouncing,"Ang {{c1::Debouncing}} ay para sa controlled na function execution.",,Debouncing
Throttling,"Ang {{c1::Throttling}} ay para sa limited na function calls.",,Throttling
Image Optimization,"Ang {{c1::Image Optimization}} ay para sa efficient na image loading.",,Image Optimization
Prefetching,"Ang {{c1::Prefetching}} ay para sa faster na resource loading.",,Prefetching
Service Worker,"Ang {{c1::Service Worker}} ay para sa offline support.",,Service Worker
Performance Profiling,"Ang {{c1::Performance Profiling}} ay para sa performance analysis.",,Performance Profiling
Debouncing,"Paano mo i-delay ang function execution?",,"Gamitin ang debouncing."
Throttling,"Paano mo i-limit ang function execution frequency?",,"Gamitin ang throttling."
Image Optimization,"Paano mo i-optimize ang image loading?",,"Gamitin ang image optimization."
Prefetching,"Paano mo i-load ang resources ahead of time?",,"Gamitin ang prefetching."
Service Worker,"Paano mo i-enable ang offline support?",,"Gamitin ang service worker."
Performance Profiling,"Paano mo i-analyze ang bottlenecks?",,"Gamitin ang performance profiling."
Debouncing,"Ano ang tawag sa pag-delay ng function execution?",,"Debouncing."
Throttling,"Ano ang tawag sa pag-limit ng function execution frequency?",,"Throttling."
Image Optimization,"Ano ang tawag sa pag-combine at lazy load ng images?",,"Image optimization."
Prefetching,"Ano ang tawag sa pag-load ng resources ahead of time?",,"Prefetching."
Service Worker,"Ano ang tawag sa caching ng assets para sa offline support?",,"Service worker."
Performance Profiling,"Ano ang tawag sa pag-analyze ng bottlenecks?",,"Performance profiling."
