Component Lifecycle,"Paano mo maiintindihan ang mga stages ng component?",,"Tingnan ang component lifecycle."
Forms,"Paano mo i-handle ang controlled at uncontrolled inputs?",,"Gamitin ang forms."
Lists & Keys,"Paano mo i-render ang maraming items nang tama?",,"Gamitin ang lists at keys."
Composition,"Paano mo bubuuin ang components mula sa mas maliliit na components?",,"Gamitin ang composition."
Children Prop,"Paano mo i-pass ang elements bilang prop?",,"Gamitin ang children prop."
Error Boundaries,"Paano mo i-catch ang errors sa component tree?",,"Gamitin ang error boundaries."
Component Lifecycle,"Ano ang tawag sa mga stages ng component mula mount hanggang unmount?",,"Component lifecycle."
Forms,"Ano ang tawag sa paghawak ng controlled at uncontrolled inputs?",,"Forms."
Lists & Keys,"Ano ang tawag sa pag-render ng maraming items nang tama?",,"Lists at keys."
Composition,"Ano ang tawag sa pagbubuo ng components mula sa mas maliliit na components?",,"Composition."
Children Prop,"Ano ang tawag sa pag-pass ng elements bilang prop?",,"Children prop."
Error Boundaries,"Ano ang tawag sa pag-catch ng errors sa component tree?",,"Error boundaries."
