State Lifting,"Paano mo i-share ang state sa pagitan ng components?",,"Gamitin ang state lifting."
Context API,"Paano mo i-share ang data nang hindi nag-pa-pass ng props?",,"Gamitin ang context API."
React Router,"Paano mo i-navigate ang pages nang walang reload?",,"Gamitin ang React Router."
Client-Side Routing,"Paano mo i-manage ang URL sa browser?",,"Gamitin ang client-side routing."
API Fetching,"Paano mo kukuha ng data mula sa external APIs?",,"Gamitin ang API fetching."
Loading & Error States,"Paano mo i-display ang loading at error states?",,"Gamitin ang loading at error states."
Pagination,"Paano mo hahatiin ang data sa pages?",,"Gamitin ang pagination."
Search & Filtering,"Paano mo hahanapin at i-filter ang data?",,"Gamitin ang search at filtering."
State Lifting,"Ano ang tawag sa paglipat ng state sa common parent?",,"State lifting."
Context API,"Ano ang tawag sa pag-share ng data nang hindi nag-pa-pass ng props?",,"Context API."
React Router,"Ano ang tawag sa pag-navigate ng pages nang walang reload?",,"React Router."
Client-Side Routing,"Ano ang tawag sa pag-manage ng URL sa browser?",,"Client-side routing."
API Fetching,"Ano ang tawag sa pagkuha ng data mula sa external APIs?",,"API fetching."
Loading & Error States,"Ano ang tawag sa pag-display habang naglo-load o may error?",,"Loading at error states."
Pagination,"Ano ang tawag sa paghahati ng data sa pages?",,"Pagination."
Search & Filtering,"Ano ang tawag sa paghanap at pag-filter ng data?",,"Search at filtering."
