NP-Completeness,"Paano mo malalaman kung NP-complete ang problem?",,"Gamitin ang polynomial-time reduction."
P vs NP Problem,"Ano ang tawag sa unsolved problem sa computer science?",,"P vs NP problem."
Approximation Algorithms,"Paano mo i-solve ang NP-hard na problems?",,"Gamitin ang approximation algorithms."
Randomized Algorithms,"Paano mo gagamitin ang randomness sa algorithm?",,"Gamitin ang randomized algorithms."
Online Algorithms,"Paano mo i-process ang input nang hindi alam ang buong input?",,"Gamitin ang online algorithms."
Offline Algorithms,"Paano mo i-process ang buong input?",,"Gamitin ang offline algorithms."
Competitive Analysis,"Paano mo i-compare ang online at offline algorithms?",,"Gamitin ang competitive analysis."
Amortized Complexity,"Paano mo i-analyze ang average complexity over operations?",,"Gamitin ang amortized complexity."
Potential Method,"Paano mo i-apply ang potential method?",,"Gamitin ang potential function."
Yao's Principle,"Paano mo i-apply ang Yao's principle?",,"Gamitin ang minimax theorem."
NP-Completeness,"Ano ang tawag sa class ng problems na hindi polynomial-time solvable?",,"NP-completeness."
P vs NP Problem,"Ano ang tawag sa unsolved problem sa computer science?",,"P vs NP problem."
Approximation Algorithms,"Ano ang tawag sa algorithms na nagbibigay ng near-optimal na solutions?",,"Approximation algorithms."
Randomized Algorithms,"Ano ang tawag sa algorithms na gumagamit ng randomness?",,"Randomized algorithms."
Online Algorithms,"Ano ang tawag sa algorithms na nagpo-process ng input incrementally?",,"Online algorithms."
Offline Algorithms,"Ano ang tawag sa algorithms na kailangan ang buong input?",,"Offline algorithms."
Competitive Analysis,"Ano ang tawag sa pag-compare ng online at offline algorithms?",,"Competitive analysis."
Amortized Complexity,"Ano ang tawag sa average complexity over sequence of operations?",,"Amortized complexity."
Potential Method,"Ano ang tawag sa technique para sa amortized analysis?",,"Potential method."
Yao's Principle,"Ano ang tawag sa lower bound technique para sa randomized algorithms?",,"Yao's principle."
NP-Completeness,"Ano ang example ng NP-complete problem?",,"Traveling Salesman Problem, SAT problem."
P vs NP Problem,"Bakit mahalaga ang P vs NP problem?",,"Dahil ang sagot ay magpapabago sa computer science."
Approximation Algorithms,"Ano ang example ng approximation algorithm?",,"Vertex Cover approximation."
Randomized Algorithms,"Ano ang example ng randomized algorithm?",,"Randomized Quick Sort."
Online Algorithms,"Ano ang example ng online algorithm?",,"Online bipartite matching."
Offline Algorithms,"Ano ang example ng offline algorithm?",,"Offline sorting."
Competitive Analysis,"Ano ang example ng competitive analysis?",,"k-competitive na online algorithm."
Amortized Complexity,"Ano ang example ng amortized complexity?",,"Dynamic array insertion."
Potential Method,"Ano ang example ng potential method?",,"Dynamic array potential function."
Yao's Principle,"Ano ang example ng Yao's principle?",,"Lower bound para sa comparison-based sorting."
