Scope,"Paano mo i-handle ang variable visibility?",,"Tingnan ang scope."
Hoisting,"Paano mo maiiwasan ang hoisting issues?",,"Gamitin ang let at const."
Callbacks,"Paano mo gagamitin ang callbacks?",,"I-pass ang function bilang argument."
Promises,"Paano mo gagamitin ang promises?",,"I-return ang promise mula sa async operation."
Async/Await,"Paano mo gagamitin ang async/await?",,"I-declare ang async function at i-await ang result."
Error Handling,"Paano mo i-handle ang errors?",,"Gamitin ang try-catch block."
Scope,"Ano ang tawag sa visibility ng variables?",,"Scope."
Hoisting,"Ano ang tawag sa pag-move ng declarations sa top?",,"Hoisting."
Callbacks,"Ano ang tawag sa function na pinapasa bilang argument?",,"Callbacks."
Promises,"Ano ang tawag sa representation ng future na value?",,"Promises."
Async/Await,"Ano ang tawag sa cleaner na syntax para sa async code?",,"Async/await."
Error Handling,"Ano ang tawag sa paghawak ng errors?",,"Error handling."
