Event Loop,"Ang {{c1::Event Loop}} ay ang mechanism ng JavaScript para sa async execution.",,Event Loop
Microtasks & Macrotasks,"Ang mga {{c1::Microtasks & Macrotasks}} ay ang priority ng async operations.",,Microtasks & Macrotasks
Web Workers,"Ang mga {{c1::Web Workers}} ay ang parallel processing sa background thread.",,Web Workers
Service Workers,"Ang mga {{c1::Service Workers}} ay ang proxy para sa caching at offline support.",,Service Workers
Proxy & Reflect,"Ang mga {{c1::Proxy & Reflect}} ay ang custom na behavior ng objects.",,Proxy & Reflect
WeakRef & FinalizationRegistry,"Ang mga {{c1::WeakRef & FinalizationRegistry}} ay ang memory management techniques.",,WeakRef & FinalizationRegistry
Shared Memory & Atomics,"Ang mga {{c1::Shared Memory & Atomics}} ay ang concurrency sa multiple threads.",,Shared Memory & Atomics
Event Loop,"Ang {{c1::Event Loop}} ay mechanism ng JavaScript para sa async execution.",,Event Loop
Microtasks & Macrotasks,"Ang mga {{c1::Microtasks & Macrotasks}} ay priority ng async operations.",,Microtasks & Macrotasks
Web Workers,"Ang mga {{c1::Web Workers}} ay parallel processing sa background thread.",,Web Workers
Service Workers,"Ang mga {{c1::Service Workers}} ay proxy para sa caching at offline support.",,Service Workers
Proxy & Reflect,"Ang mga {{c1::Proxy & Reflect}} ay custom na behavior ng objects.",,Proxy & Reflect
WeakRef & FinalizationRegistry,"Ang mga {{c1::WeakRef & FinalizationRegistry}} ay memory management techniques.",,WeakRef & FinalizationRegistry
Shared Memory & Atomics,"Ang mga {{c1::Shared Memory & Atomics}} ay concurrency sa multiple threads.",,Shared Memory & Atomics
Event Loop,"Ang {{c1::Event Loop}} ay para sa async execution.",,Event Loop
Microtasks & Macrotasks,"Ang mga {{c1::Microtasks & Macrotasks}} ay para sa async priority.",,Microtasks & Macrotasks
Web Workers,"Ang mga {{c1::Web Workers}} ay para sa parallel processing.",,Web Workers
Service Workers,"Ang mga {{c1::Service Workers}} ay para sa offline support.",,Service Workers
Proxy & Reflect,"Ang mga {{c1::Proxy & Reflect}} ay para sa object customization.",,Proxy & Reflect
WeakRef & FinalizationRegistry,"Ang mga {{c1::WeakRef & FinalizationRegistry}} ay para sa memory management.",,WeakRef & FinalizationRegistry
Shared Memory & Atomics,"Ang mga {{c1::Shared Memory & Atomics}} ay para sa multi-threading.",,Shared Memory & Atomics
Event Loop,"Paano mo maiintindihan ang async execution sa JavaScript?",,"Tingnan ang event loop."
Microtasks & Macrotasks,"Paano mo malalaman ang priority ng async operations?",,"Tingnan ang microtasks at macrotasks."
Web Workers,"Paano mo gagamitin ang parallel processing?",,"Gamitin ang web workers."
Service Workers,"Paano mo i-enable ang offline support?",,"Gamitin ang service workers."
Proxy & Reflect,"Paano mo i-customize ang behavior ng objects?",,"Gamitin ang proxy at reflect."
WeakRef & FinalizationRegistry,"Paano mo i-manage ang memory?",,"Gamitin ang weakref at finalizationregistry."
Shared Memory & Atomics,"Paano mo gagamitin ang multi-threading?",,"Gamitin ang shared memory at atomics."
Event Loop,"Ano ang tawag sa mechanism ng JavaScript para sa async execution?",,"Event loop."
Microtasks & Macrotasks,"Ano ang tawag sa priority ng async operations?",,"Microtasks at macrotasks."
Web Workers,"Ano ang tawag sa parallel processing sa background thread?",,"Web workers."
Service Workers,"Ano ang tawag sa proxy para sa caching at offline support?",,"Service workers."
Proxy & Reflect,"Ano ang tawag sa custom na behavior ng objects?",,"Proxy at reflect."
WeakRef & FinalizationRegistry,"Ano ang tawag sa memory management techniques?",,"Weakref at finalizationregistry."
Shared Memory & Atomics,"Ano ang tawag sa concurrency sa multiple threads?",,"Shared memory at atomics."
