Design System,"Ang {{c1::Design System}} ay ang set ng reusable na UI components.",,Design System
Component Styling,"Ang mga {{c1::Component Styling}} ay ang mga paraan ng pag-style ng components.",,Component Styling
CSS-in-JS,"Ang {{c1::CSS-in-JS}} ay ang pag-style gamit ang JavaScript objects.",,CSS-in-JS
Responsive Design,"Ang {{c1::Responsive Design}} ay ang paggawa ng UI na nag-a-adapt sa screen size.",,Responsive Design
Accessibility,"Ang {{c1::Accessibility}} ay ang paggawa ng UI na accessible sa lahat ng users.",,Accessibility
Animation,"Ang {{c1::Animation}} ay ang pagdagdag ng movements para sa better UX.",,Animation
Theming,"Ang {{c1::Theming}} ay ang pag-manage ng colors at styles across the app.",,Theming
Design System,"Ang {{c1::Design System}} ay set ng reusable na UI components.",,Design System
Component Styling,"Ang mga {{c1::Component Styling}} ay mga paraan ng pag-style ng components.",,Component Styling
CSS-in-JS,"Ang {{c1::CSS-in-JS}} ay pag-style gamit ang JavaScript objects.",,CSS-in-JS
Responsive Design,"Ang {{c1::Responsive Design}} ay paggawa ng UI na nag-a-adapt sa screen size.",,Responsive Design
Accessibility,"Ang {{c1::Accessibility}} ay paggawa ng UI na accessible sa lahat ng users.",,Accessibility
Animation,"Ang {{c1::Animation}} ay pagdagdag ng movements para sa better UX.",,Animation
Theming,"Ang {{c1::Theming}} ay pag-manage ng colors at styles across the app.",,Theming
Design System,"Ang {{c1::Design System}} ay para sa consistent na UI.",,Design System
Component Styling,"Ang mga {{c1::Component Styling}} ay para sa component appearance.",,Component Styling
CSS-in-JS,"Ang {{c1::CSS-in-JS}} ay para sa JavaScript-based na styling.",,CSS-in-JS
Responsive Design,"Ang {{c1::Responsive Design}} ay para sa multi-screen na UI.",,Responsive Design
Accessibility,"Ang {{c1::Accessibility}} ay para sa inclusive na UI.",,Accessibility
Animation,"Ang {{c1::Animation}} ay para sa better user experience.",,Animation
Theming,"Ang {{c1::Theming}} ay para sa consistent na colors at styles.",,Theming
Design System,"Paano mo gagawa ng consistent na UI?",,"Gamitin ang design system."
Component Styling,"Paano mo i-style ang components?",,"Gamitin ang component styling."
CSS-in-JS,"Paano mo i-style gamit ang JavaScript?",,"Gamitin ang CSS-in-JS."
Responsive Design,"Paano mo gagawa ng UI na nag-a-adapt sa screen size?",,"Gamitin ang responsive design."
Accessibility,"Paano mo gagawa ng UI na accessible sa lahat?",,"Gamitin ang accessibility."
Animation,"Paano mo dagdagan ng movements ang UI?",,"Gamitin ang animation."
Theming,"Paano mo i-manage ang colors at styles across the app?",,"Gamitin ang theming."
Design System,"Ano ang tawag sa set ng reusable na UI components?",,"Design system."
Component Styling,"Ano ang tawag sa mga paraan ng pag-style ng components?",,"Component styling."
CSS-in-JS,"Ano ang tawag sa pag-style gamit ang JavaScript objects?",,"CSS-in-JS."
Responsive Design,"Ano ang tawag sa paggawa ng UI na nag-a-adapt sa screen size?",,"Responsive design."
Accessibility,"Ano ang tawag sa paggawa ng UI na accessible sa lahat ng users?",,"Accessibility."
Animation,"Ano ang tawag sa pagdagdag ng movements para sa better UX?",,"Animation."
Theming,"Ano ang tawag sa pag-manage ng colors at styles across the app?",,"Theming."
